post,class
" uk sport displays anti white racism when they cut funding for  "" white sports "" "" prior to tokyo olympics ! """,implicit_hate
oh  look  the anti-gay  anti-woman is in bed with white supremacists . shocker .,implicit_hate
it's harsh & ur a racist which i didn't knw .. anyhoo .. u enjoy promoting white protection . i care about ppl .. not skin colour,not_hate
you're the only independent white person  the others are slaves to jews  iranians  pakistanis  moslems,implicit_hate
muslims always feel provoked and offended ... that's why islam has to be banned from democracies .,implicit_hate
: black spree shooter wanted to kill as many white people as possible,not_hate
can i join if i'm black but on the inside white ?,implicit_hate
: to loudmouth idiot and racist jemele hill ; potus trump isn't a white supremacist but bill clinton is . i bet you voted for,not_hate
they're white .,not_hate
notice-there was a happy white family in the video.not african american  asian  latino  or native .. white .,not_hate
"yes! wall sounds great. can keep mexicans from boats, tunnels and airplanes for a while longer? what about merpeople? wall off the ocean too",implicit_hate
: black slavery only matters when it can be blamed on white southerners . or when it can make white sj,implicit_hate
make that  some black folks  friend ... thanks,not_hate
israel is too white  it needs more diversity #openbordersforisrael,not_hate
"minnesota has a muslim problem, not a recruiting problem. plenty of 3rd world """"#refugee"""" parasites here. #tcot",implicit_hate
trump filled the white house with racist white nationalists like bannon  mil,not_hate
faces deportation . how can i only be facing deportation ? he should be locked up until we can figure out a way to get them out of our country,not_hate
" white people killing white people  ha  "" perfect "" "" ! """,explicit_hate
What does a redneck girl say when she meets her first lover? Hi dad!,implicit_hate
but what about muh higher average iq ?,not_hate
if you speak about islamist terrorism  you get snipped at by one muslim and 4329 white apologists . prolly cuz islamists mostly kill muslims,explicit_hate
immigrants aren't to blame for jobs going overseas and they don't compete for the same jobs so stop lying .,not_hate
academics have told us  from their great wisdom  that all white skin is racist . if i lived where everyone is white  would i still be racist ?,implicit_hate
dressing like their dads or milton from office space . they selling me annuities insurance along with the ethnostate ?,implicit_hate
" the typical  "" hate the sinner  love to hate "" "" mentality of the anti-gay religious right ... """,implicit_hate
that's partially true since white suprmacy dominates every facet of human existence . here are the 9 areas so you have them .,not_hate
" dont celebrate yet.they like to call some of the brown population white.our jails here are full of  "" white "" "" illegals from south of the border """,implicit_hate
irony here is we are stealing away the very talent which could stabilize third world countries & thereby avoid influx of refuges & illegals.,implicit_hate
white student union offensive  but anti-white student union is welcome at va,not_hate
" went to nordstrom yesterday and they had a big rainbow banner with the word  "" pride "" "" on the door but we both know the rainbow = whitegenocide """,implicit_hate
and since u have the answers.why do white people murder black people unjustly ?,not_hate
i remember right outside of work there was a bronze plaque to the kkk,not_hate
looked like suburban white kids,not_hate
alliance alert podcast for july 28  2015 #ppsellsbabyparts #physicianassistedsuicide #religiousliberty,not_hate
alliance defending freedom communications team excited and mostly awake ! #teambuilding,not_hate
our great white christian race shall defeat muslims we r obliged 2 xtermin 8 their presence from our daily lives .,implicit_hate
"blame others, blame everyone never take responsibility.nigger is always innocent.",explicit_hate
study : white resistance increases as minority status looms | more : via,not_hate
"  "" it is shocking that such a high percentage of people even believe that america has a ' white  european heritage . ' "" "" """,not_hate
how about stopping benefits 2 all so called #bpl families with more than 2children ? #newindia do u have guts to do it ji ?,not_hate
: i witnessed awr do same at lee circle . it was ace baker w / awr . marched in like they owned the place then cuck,not_hate
jk lol im full white :),not_hate
"  "" : a majority of latinas and black girls  i cannot stand "" "" """,implicit_hate
democracy gives your enemies a seat at the table . with tribal politics inflicted on whites by jews we need new way .,explicit_hate
look at all them nice white people . probably for the best,not_hate
i said i hate white supremacists . don't try to be the victim .,not_hate
that is certainly true .,not_hate
lots of normal white people are receptive to a pro-white message  a lot voted for trump . don't you pro-white to be mainstream ?,implicit_hate
" rt how dare you complain about racist  "" abuse "" "" ? are white people the problem with britain ? you're the biggest racist here """,not_hate
the peaceful muslim religion . when they say peaceful they mean rest in peace . look at this typical mu,implicit_hate
you are all smelly and i bet your faces look like melted wellies you poo heads,implicit_hate
please subscribe and view my jew lies white genocide playlist non profit,explicit_hate
no such thing as british muslim its just plain old murdering muslim thanks .,explicit_hate
the white dilemma by brother,not_hate
"he won't do it, mooslimes are scared of dogs!",implicit_hate
muh traditionalism includes going to gay weddings #cuckservative,implicit_hate
indiana : lugar's pro-life weakeness opens door to mourdock #republican #sgp,not_hate
"If only we could simply rise up and kill every nigger and jew in America just like niggers did to whites in Haiti, but our police state is locked down pretty tight.",explicit_hate
except all the jews who are white . that is how stupid ypu are . trump is jewish . duh ..,explicit_hate
: google sure is patriotic !,not_hate
kejriwal actually wants to join bjp  it seems ; he only wants a good deal ! !,not_hate
tell me what true white supremacy is ?,not_hate
: video : nationalist youth marching against the multiculturalism in vienna,not_hate
daca is amnesty open border new world order agenda.,implicit_hate
where all white boys do there thing,not_hate
they are not just my heroes  but of the white race . later generations will sing of their poster-affixing  sticker-sticking deeds !,implicit_hate
to care about my neighbours  and children  more than someone from france  or malawi  is normal . to make clear : yes  i and other white  brown and black englishmen would die to protect each other and this country . we have a bond ; white  black and brown brits do die defending engld,not_hate
congress  bjp  #girirajsingh  #jeetanmajhi & #paswan should give their certificate of support to #misabharti as next cm,not_hate
even the identitarian groups like vangard america and identity europa prefer their members don't have t,not_hate
al qaeda draws up india hitlist  may target n-plants &,implicit_hate
- over 250 swedish white nationalists march in stockholm ( video ),not_hate
#varungandhi is fake gandhi but more truthful kaviraj than #kumarvishwas,not_hate
it is a master stroke by bjp to bring kiran bedi ji and declare her party's cm candidate : shanti bhushan,not_hate
"no smart wall a deadly wall is what we need machine guns , rocket launchers and land mines on the mexican side blow a few up problem solved",implicit_hate
nonsense . slaves  unlike poor whites  had access to healthcare and a better diet than even modern blacks .,implicit_hate
and germany is beating sweden in the race for white survival ! !,implicit_hate
beware of foolish low iq germans  just being born in germany is not enough .,not_hate
it's right to be white .,not_hate
the inner party needs the outer party in order to pretend there is a democracy  but i think dems will run horrible candidates and let mccainites win when the dems need to start a war and don't want to be blamed for it . they're the good party for good people after all .,not_hate
good read hunter,not_hate
anglin has provided a platform for dehumanizing white women and his fan,implicit_hate
time to start a serious discussion on disarming black people and reviving insane asylums .,implicit_hate
all british are advised to move to folkland island as fuhrer advances to avenge nuremberg bombings,not_hate
haha ! you can tell is a lot nicer than normal antifa trash . she just got caught up in somet,not_hate
demokkkrats started the kkk and now they are starting a racist jihad against white cops ! demokkkrats are racism experts !,implicit_hate
lewis is one of the racist black man around,not_hate
how many of those trump supporters have already been banned and censored on social media ? milo  for example  is banned,not_hate
we're going to have massive #liftwaffe banners and zyzz posters to ' mire . can be chief trainer .,not_hate
: we support #justiceforjack .,not_hate
fire all of them that don't enforce the laws! start deportations of all illegals in california,implicit_hate
will white people go to the national black history museum ? : district of corruptio ... #justdoitbetter,not_hate
not racist just ignorant .,not_hate
What's Hitler's favorite breakfast beverage? Freshly squeezed orange jews.,implicit_hate
target isn't worried about conservchristians boycotting them . it will help keep white trash out of the store,not_hate
white nationalist please,not_hate
"pl. respond to attacks, despondency will not help; simply #deport all muslims",implicit_hate
new black panther leaders agitating in south africa and zimbabwe via #sa #savetheboer,not_hate
the most dangerous terrorists in our country are white and racist and were born here .,not_hate
: #whenthugscry  your thoughts ... go !,not_hate
i don't understand why you're so racist and sexist ?,not_hate
#narendramodi is making india proud . he loves his country & fights for it . #rajdeepsardesai is ashamed to be indian ( & hindu ) & belittles it,implicit_hate
make america white again by deporting & neutering all the non-whites white power forever #immigration,explicit_hate
he's not black both his parents are white,not_hate
antifa are isis without the bomb vests,implicit_hate
if gavin goes full alt right that would be the end of it . we win the cultural war .,not_hate
common figure around the conservatism circles,not_hate
. race is more than skin color . iq  voting  welfare  crime  aggression . open a biology book .,implicit_hate
why are all white people from different countries the same  but people of color ... nevermind . white american racists are weird .,implicit_hate
while is striving to make india no1 country in next 15 yrs  congress still stuck up 200 yrs back with tipu to stoke communalism,not_hate
1000s of invaders vanish  govt . admits - the new observer #germangovernment #spokesman ...,not_hate
#water and power : what the last #drought taught #california vi #toomanypeople,not_hate
looks like your civil rights were violated hopefully people will get woke from this an,implicit_hate
just in : nc family president urges to stand firm on #hb2 : #keepncsafe,not_hate
one of the questions never asked : if africans had won any of their repeated wars for european conquest  would we still be slaves ? of course .,explicit_hate
saturday night live celebrates the end of the white race | daily stormer,implicit_hate
he didn't go full white nationalist  but didn't countersignal when asked about race either,not_hate
im black and all white people have inferior everything to me,explicit_hate
cut immigration by at least 75 % ! raise does not do enough !,implicit_hate
when bjp leader navjot singh sidhu ji came to rohini to campaign & enthralled crowds with his wisecracks . #thokotali,not_hate
. #taxreform plan makes us employers more competitive ; repatriates corporate money parked overseas .,not_hate
darren wilson did his job and is now unemployable ; michael brown tried to kill him and is a martyr to blacks and white liberals #america2015,implicit_hate
no wonder you're the mongrelised subhuman offspring of the genocidal lebanese christians (who lost btw),explicit_hate
" jewish professor angers jews : found this and thought it could be useful . jewish professor angers jews .  "" ... m ... """,not_hate
* or black woman . they hate self thinking blacks more than they hate white supremacists / kkk,not_hate
but there are selfish pimps in bjp who are abusing,not_hate
bcuz white ppl exist which makes black kids murder each other over sneakers and street cred ... curse u white supremacy .,implicit_hate
#alwaystrump because of alabama's immigration law  hb 56,implicit_hate
you guys are laughing stock the country is mobilized and this pro white movement will be crushed,not_hate
" rt i also told  "" more than half "" "" . jews killed by hitler were 6million . """,not_hate
What Do You Call It When An Ethiopian Baby Cries? A mid-life crisis,implicit_hate
global ? white latinbet extinctions !,not_hate
"gay or transgender, should not be in the scouts lgbt behavior not appropriate for scouts, not born that way",implicit_hate
" if you allow yourself to get beat up for  "" optics "" "" then you aren't very bright """,not_hate
kill them.,implicit_hate
i'm not white lol apparently y'all are raci,not_hate
" no ! :  "" should aborted babies be used for cosmetic procedures ? "" "" ; """,not_hate
russian antifa is the biggest pile of faggots in a whole world . sad !,explicit_hate
the alt right died weeks ago ! this is late to the table,not_hate
i guess they'll say the facts are racist angelina,not_hate
no  hon ; having a high iq leads to curiosity  whic,not_hate
' holocaust ' debate / comments / news holocaust hoax day 23 january : i visited dermot mulqueen over the anniv ...,implicit_hate
anti-white jew comedian louis ck jokes about child molestation on saturday night live #withjewswelose,explicit_hate
no  because america is a white country at its core . the land no longer belongs to brown people  and in many cases they sold it to us .,not_hate
trump to speak at us holocaust museums commemoration,not_hate
an explanation is needed ? it's jewbook . is jared going to start naming jews now ?,implicit_hate
they're parasites. images of real refugees look starkly different.,implicit_hate
jesus wasn't white .,not_hate
robert spencer in pj media : white house proposes official new race : middle east / north african via,not_hate
retweeted elder lansing ( ): to loudmouth idiot and racist jemele hill ; potus trump isn't a white ...,not_hate
15 year old white danish girl blinded by african muslims in racially motivated hate crime | read via,implicit_hate
the emergence of white identity in the chesapeake via,not_hate
he strongly align with your white religious institutions as well .,not_hate
if we don't have free speech in america then why are people always allowed to protest ?,not_hate
they are suing the wrong people ... sue the charlottesville municipality .,implicit_hate
: the end of a myth : most new serial killers in america are not white males,not_hate
reality is worse than this picture . at least the couple are white here . liberal media and le,implicit_hate
and replace ? we don't deport or kill one white person for every immigrant that arrives ! i'm sorry change bothers you  but get a grip,not_hate
#whywemarch since doctors thought i might have birth defects they thought my life wouldn't be worth living . let me tell you  it totally is,not_hate
" i still don't understand why this is an issue .  "" diverse youth "" "" & heavy people sit this way more often . """,not_hate
we disabled people  need to to this also.because its good to have people who understand how it feels to be this way .,not_hate
#drought in #california is not caused by #toomanypeople . pr14 : 34 says sin is the problem . #repentnpray for rain,implicit_hate
is a totally bigoted and ignorant group for white supremacists and people espousing violent genocidal views .,not_hate
#massive migration from africa to europe is underway ; europe may not survive ; sorry  what to do ?,implicit_hate
that doesn't matter  look at what has happened  and look at people trying to undo the damage .,not_hate
you are most fantastic ; pl . eradicate islam from human civilization .,explicit_hate
establishment conservatism has failed . and now it's lashing out at the newer  younger  cooler kids .,not_hate
the most dangerous class of criminals are the 70 white people who have been responsible for mass murders in schools . #racist,not_hate
race mixing ? only if you think anti-western means anti-white supremacy .,not_hate
america needs to practice negro control and lunatic control #nra #civilrights,implicit_hate
nope  dont love it  racist .,not_hate
yes yes more of your alt right tears,not_hate
your numbers would be better if the alt-right platform wasn't significantly usurped by socialists,not_hate
ok . . neither of you are qualified to be racist ! ! !,not_hate
look racist you just said you weren't calling him a racist ? so what is this some of that their is no there  there ! #doubletalk,not_hate
then pl. do needful. also educate muslim girls to come out of their hell by marrying hindu boys.,implicit_hate
white nationalists  white separatists and people  who think sec . 8 housing is theft  may speak . if neo -,not_hate
"stop 'warehousing' them and send them back where they came from! no visa, no stay--gone!!",implicit_hate
kicked from for being black,not_hate
"what is this absolute garbage doing on my timeline? i live in a sanctuary city, you useless idiots. crawl back under the rock you came from.",implicit_hate
they want everyone to believe there is a race war . all i see is white fascists fighting white nazis .,not_hate
" rt season 2 of  "" it's okay to be white "" "" is here  guys """,not_hate
in both stories  why did school officials censor only religious activities ?,not_hate
"That's why black men, like my boyfriend, date us white women. They like REAL hair, real nails, and none of that attitude. Black girls are way too ghetto and too much work.",implicit_hate
while is tweeting about abortion  it has been strangely silent in offering an apology for the double standard regarding #joshduggar .,not_hate
some people actually a lot of the time are complying and being upfront with information and are still killed   if you can name one case involving a white person where they are gunned down unfairly your point would stand .. but i can name countless that went national news,not_hate
"ain't surprised,ain't not a one of 'em worth a damn",explicit_hate
the white will soon be erased from this world !,explicit_hate
you mean no to a christian test ... you're quite fine stepping on non-white faiths or non-believers . you just want tax free white sharia .,not_hate
hm.well  they do help to fund jihad  esp . the white men in the state dept - altho led by a half-white - so maybe she has a point .,not_hate
#whitegenocide #womenunited for #love who wants a #purpleheart ? #dodge and #win,implicit_hate
"If the Japs are offended, then screw them. They should have stayed away from Pearl Harbor."" The highest rated comment on a very old and very racist Bugs Bunny cartoon shown on YouTube. 7 macro,race 6 years ago",implicit_hate
" 7 . a  "" make america white again "" "" sign with a swastika was graffitied on a softball dugout wall in a park in wellsville  new york . """,not_hate
irs has illegal immigration and taxes problem via,not_hate
: egyptian muslim cleric instructs european muslims on how best to beat their wives,not_hate
"uh, let the saudis track syria refugees over there. keep them out of the usa !",implicit_hate
black population is 13 % . white 63 %,not_hate
the indian act is in perfect compliment to white supremist governance  as result canada runs perfectly as white supremist society .,not_hate
stay tuned : tonight at 6:30 pm est--we will be fb live streaming a debate between supreme court litigators david cortman of adf and ria tabacco mar of the aclu on the merits of our upcoming masterpiece cakeshop #scotus case.visit us here :,not_hate
glenn beck's constitution worship explained via #mormons #constitution #cuckservatives,not_hate
white civilization is superior than monkeys,implicit_hate
putin sells ? uv anti-bacterial device sales skyrocket after photo op w / russian president,not_hate
What’s the best part of being a doctor? Vegetables don’t need to give consent.,implicit_hate
court says wedding photographers not real artists via #religiousfreedom,not_hate
charlottesville : huge torchlight march & rally via,not_hate
i don't think so . he's just not a idiotic democrat .,not_hate
oh - i see ur not russian - just white nationalist - bye,not_hate
you can't be a jew and on the alt right . the alt right is woke to the jq,implicit_hate
via : orlando jihad massacre explodes widely-touted study claiming right-wingers bigger ... #tcot,not_hate
and what oath are they keeping  to maintain the anti-white system ?,not_hate
fox news poll : trump widens lead in gop race  clinton-sanders tightens | fox news |,not_hate
cpac protest : matt heimbach and some of our friends are going to be having some fun with the corporate whores ...,not_hate
do you know anyone in the black community who likes trump or carson ? do they realize it is gop that want charter schools ?,not_hate
"all the more reasons to keep these lazy, psychotic criminals out, parasites of the world destroying it!",implicit_hate
i'm saying stop non white immigration . white people can come here all they want . and good man  i love that flag .,implicit_hate
obama is focused on the economy ... he is out to destroy it ... amnesty & obamacare will speed that process along !,not_hate
obama led from the rear  trump leads from the front and respected by more leaders than obummer . #securetheborder,not_hate
identity evropa activists had a successful day at the university of montana .,not_hate
i'm sorry but perhaps ur misunderstanding me . while black people as a % r far & away the biggest users of govt assistance  i'm certainly not,implicit_hate
perfect example as to why should have more followers than people like,not_hate
it is observation and experience . black people lack the capacity to sustain a modern white civilization .,explicit_hate
government departments are harassing law abiding citizens more under your regime in name of various catch phrases .,not_hate
us trying to help find nigerian girls : white house -,not_hate
some thoughts : 1 ) here is the issue : as pro-white activists  we need to be serving the average white person more directly . there needs to be a volunteer organization with the sole intent of helping white people in economic problems . think of it like a salvation army for whites,implicit_hate
"as a legal immigrant who hd 2 hv a job, a sponsor, no govt help for 5 yrs, this is music 2 my taxpaying ears! it's time 2 end the free ride",implicit_hate
jews must give up whiteness to fight racism : rabbi : jews are not white  only jewish,not_hate
soon  white people will not be a majority anywhere . you believe,implicit_hate
egypt : muslim brotherhood supporters throw molotov cocktails at churches,not_hate
there is something mysterious about the way he [ #hitler ] lived and died and which will outlive him and continue to flourish . - jfk,not_hate
good comeback . i'll be sure to save that one for my school bullies .,not_hate
all you have proven with this is you're anti gay as well as being a white nationalist .,not_hate
white people are not homogenous ! #altright,not_hate
cuckservative faggots think that trump wants a police state . we already have a police state  and it was built by liberals and cuckservatives,explicit_hate
" so are all white americans going to be called  "" borderers "" "" now ? """,implicit_hate
#cville welcome to police state america of the ussa . next they'll imprison our people in the gulags for our ideas .,not_hate
kkk we have americans doing that here as well ! where are those stories ? that's right you hate everybody who isn't white,implicit_hate
: white genocide in the united states of america a 100 year history,implicit_hate
when you figure out who won wwii  the you will understand why modern america is as it is .,not_hate
donald trump is kiling it with white  working-class voters in the rust belt via,not_hate
white pride america merges with the national socialist movement | read more : via,not_hate
certainly the most turkic-looking white man i've ever seen . but race is a social construct so the msm must be right .,implicit_hate
we must understand this : islam is predominantly a political ideology packaged as a religion .,not_hate
the biggest lies in the media have always been their lies of omission,not_hate
take a stand  join the klan . we are the superior race . we shall dominate politically  economically and socially . #whitepride #white,explicit_hate
if you're outraged by the response the media on #blmkidnapping don't sit around . join and march for your own peoples future,not_hate
" look into affirmative action . it's straightforward anti-white discrimination . then look at brazil . that's your  "" race blind "" "" future . """,implicit_hate
duhshows you that once infected with the islam virus how quickly this turns the brain to rat s**t.,implicit_hate
then you have a lot of racist right behind you !,not_hate
from canada illegally  just white people assume,implicit_hate
swiss government adopts new anti-money laundering rules,not_hate
called the alt right despicable and vilegavin & milo are our worst enemies,not_hate
as always  a complete bias against white people . no hate charges for black power . white lives do not matter .,implicit_hate
but hey! that fat whore sure did make a fabulous sock puppet! minus the smell and liquid discharge,implicit_hate
#anonymous releases 300 + names and contact links of alleged kkk members,not_hate
" rt : #unitetheright participants will open carry say  "" patriots "" "" . can you confirm ? brad ? yea ? nea ? """,not_hate
all white sheriffs ? subtle . #racist #bigotry,not_hate
european jewish congress slams polands lack of concern over anti-semitism,not_hate
uses jihadi as a shaming word  says there is no connection between islam and terrorism . pinnacle of insanity .,not_hate
: a tribute to the white race . take a stand for your people  #wakeup ! #loveyourrace #aryan #arizona #blog,not_hate
my take on the #whitenessproject now up - #tcot #tgdn #nrx #whiteprivilege,not_hate
i really enjoy your tweets . you are a real inspiration . i wish more people would follow your lead .,not_hate
" aj is a way racist and bet on violence  he's openly said he doesn't know how he  "" can't not be enemies of white people "" "" """,not_hate
us says anti-semitism a growing problem in europe via,not_hate
distaste for dc politicians at all-time high . #congress #fail #politics #obama,not_hate
retweeted hindujagrutiorg ( ): is threatens to kill bjp mla sangeet som,not_hate
the black panthers are making a comeback,not_hate
if it a country where ppl come here legal yes. all illegals should be removed.,implicit_hate
white pill of epic proportions incoming : we are the unassailable future via,implicit_hate
" 2 ) just imagine what would be happening if  "" open borders "" "" hillary was president . """,not_hate
" rt : down here in the deep south  we say   "" everything north of i - 10 is yankee occupied territory "" "" """,not_hate
are you dreaming of a white christmas ?,not_hate
voting for or will never make america white again but you keep dreaming,not_hate
whenever our fellow white citizens see white people publicly standing up for our race it is good !,not_hate
white house says airstrike killed is group number two hajji mutazz,not_hate
: can you run your own business according to your beliefs ? phoenix law says no h ...,not_hate
"ebola virus, & what it does to it's host - is a perfect analogy for what mass imigration does to a country.",implicit_hate
abbreviated erick erickson  rod dreher  jonah goldberg | chateau heartiste,not_hate
no-one is promoting genocide of non whites . you just have to say bigoted thing,not_hate
no civil nationalists believe those people should have never been brought in  as their,not_hate
unarmed white man murdered by police in tx . where was his white privilege ?,implicit_hate
lol - ben carson needs to stop using the holocaust to score political points via,not_hate
look at all these white supremacist openly being racist like they don't even care and hide it anymore,not_hate
i got some news for you ... he hella racist,not_hate
" says the guy following around a bunch of other white dudes screaming  "" muh race ! "" "" this is not """,implicit_hate
" race cucks like paul ryan should be banished to live in a  "" diverse "" "" neighbrhd if they want t spout such nonsense """,implicit_hate
adolf hitler : jews can never rule the world unless they bastardize the white european races,implicit_hate
pittsburgh : jewish agency and islamic center working together to bring more syrians to the city via,not_hate
who lost the white working class ? via,not_hate
have you ever considered that if nobody cares about ethnicity the entire human population will eventually turn brown?,implicit_hate
maybe.after all the white folks are bred out .,implicit_hate
kevin alfred strom joins me to discuss his background  the national alliance  white nationalism  jews & more !,not_hate
in fact  we already know jason kessler is cnn . wallace may be cnn too . go out and get them great ratings .,not_hate
: #exposethemall another angle on one of the antifa scumbags . who attack a 16 year old kid .,not_hate
" jews r an ancient tribe . they do not identify as  "" white "" "" . they actually hate white people ! """,implicit_hate
the cm of bengal has banned a thousand year old tradition of durga puja to appease muslims #durgapujaban,not_hate
murdering thugs were black he is white so no news or hate crime here . such godless hypocrisy !,implicit_hate
its means putting political power into the hands of 3rd worlders who hate us,implicit_hate
campaign end  modi in 2014 : 437 rallies  5827 public events  300000 kms / 25 states [ lesson in endurance  mental discipline & resource mngmnt ],not_hate
charged  sentenced  jail and after time served they are deported .,not_hate
are your pets white ?,not_hate
we need a white caucas,not_hate
then why's his white biological family and all his younger photos white,not_hate
you're not good or white enough,implicit_hate
splcs mark potok : our aim in life is to destroy these groups  to completely destroy them . #splcexposed,implicit_hate
* threatened .. no jmac .. he black too but don't arrest him,implicit_hate
im urging to continue to protect immigrants from #racist hate groups like . #stopice,not_hate
how about repealing outdated  offensive federal laws against native whites in the south and west ?,not_hate
and in an even bigger surprise : a jew calls another jew a jew to get another jew to cry -> wait for,implicit_hate
oh yeah  like i want to be a muslim rt leading islamic seminary : divorce over cellphone is valid  .,not_hate
isn't that how it usually begins ? this hatred for infidels and belief in islamic supremacy etc .,implicit_hate
turn them into road pizza!,implicit_hate
: in a shock to conservatives  the trump administration wants to give one of the most liberal lgbt activists of the obama years an,not_hate
blm and antifa both have the support of liberal mayors . the police were probably told to stand down .,not_hate
you apparently think it's racist to care about white lives . that says a lot about you,not_hate
as a white man  i cant speak to if the facts presented here are true  but his conclusions are true for all of us .,not_hate
islam is full of child molesting faggots . #mohamedsucksdick,explicit_hate
i have white girl perkies,not_hate
your the true phycopath's wearing white blankets and burning crosses,not_hate
this is stupid  white genocide is not real,not_hate
pro-white rallies organized across the globe for march via,not_hate
no it very clearly does because doma & other states have laws tht explicitly say only marriage between heterosexuals man & women only,not_hate
two whole examples out of 11 mil immigrants wow that sure makes it a crisis stop being so afraid,not_hate
stay stron bill . the wall is not needed,not_hate
" rt rafael  "" ted "" "" cruz would make a good president of israel or canada ... """,not_hate
we can keep pushing american nationalism our direction because we are  in fact  americans . we are the p,implicit_hate
: great selection of racial videos to watch :,not_hate
jeb ! was forgettable . no one is talking about him #gopdebate,not_hate
what pronoun should we use to refer to people who are transitioning into martians ?,implicit_hate
