id,annotators,rationales,post_tokens,sentence,rationale_words,label_majority,label
1112504910485118979_twitter,"{'label': [1, 1, 1], 'annotator_id': [221, 207, 212], 'target': [['None'], ['None'], ['None']]}",[],"['<user>', 'you', '’', 'll', 'be', 'my', 'next', 'homorable', 'mention', '🤧']",<user> you ’ ll be my next homorable mention 🤧,,non-hateful,non-hateful
18529253_gab,"{'label': [0, 0, 0], 'annotator_id': [4, 10, 54], 'target': [['African'], ['African'], ['African']]}","[[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]]","['fun', 'fact', 'did', 'you', 'know', 'kardashian', 'is', 'armenian', 'for', 'nigger', 'lover']",fun fact did you know kardashian is armenian for nigger lover,kardashian is armenian for nigger lover,hateful,hateful
1187745116464832515_twitter,"{'label': [1, 1, 1], 'annotator_id': [25, 6, 7], 'target': [['None'], ['None'], ['None']]}",[],"['it', 'ain', 't', 'even', 'noon', 'yet', 'and', 'niggas', 'lying']",it ain t even noon yet and niggas lying,,non-hateful,non-hateful
13455893_gab,"{'label': [0, 0, 0], 'annotator_id': [90, 32, 95], 'target': [['African', 'Islam'], ['African', 'Islam'], ['Indian']]}","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","['new', 'rule', 'in', 'all', 'competitive', 'shows', 'baking', 'dancing', 'or', 'other', 'let', 'paki', 'or', 'nigger', 'token', 'win', 'in', 'order', 'to', 'win', 'public', 'support', 'and', 'hide', 'our', 'true', 'racist', 'feeling', 'for', 'coloureds', 'british', 'broadcasting', 'rules', 'and', 'regulations', '<number>']",new rule in all competitive shows baking dancing or other let paki or nigger token win in order to win public support and hide our true racist feeling for coloureds british broadcasting rules and regulations <number>,paki or nigger token coloureds,hateful,hateful
1179103318762803200_twitter,"{'label': [1, 1, 1], 'annotator_id': [17, 18, 132], 'target': [['None'], ['None'], ['None']]}",[],"['i', 'needed', 'you', 'and', 'you', 'were', 'not', 'there', 'that', 'made', 'me', 'hate', 'you']",i needed you and you were not there that made me hate you,,non-hateful,non-hateful
1179087506064564224_twitter,"{'label': [1, 1, 1], 'annotator_id': [25, 37, 4], 'target': [['None'], ['None'], ['None']]}",[],"['listen', 'i', 'know', 'that', 'john', 'mayer', 'is', 'the', 'biggest', 'white', 'bitch', 'mood', 'but', 'sometimes', 'his', 'music', 'be', 'hitting']",listen i know that john mayer is the biggest white bitch mood but sometimes his music be hitting,,non-hateful,non-hateful
5942714_gab,"{'label': [0, 0, 0], 'annotator_id': [245, 208, 230], 'target': [['Arab'], ['Asian'], ['Arab', 'Islam']]}","[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 1, 1]]","['are', 'you', 'talking', 'about', 'sand', 'niggers']",are you talking about sand niggers,sand niggers,hateful,hateful
6817112_gab,"{'label': [0, 0, 0], 'annotator_id': [46, 59, 18], 'target': [['Arab', 'Islam'], ['Islam'], ['Islam']]}","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]]","['sweden', 'suicide', 'is', 'a', 'foregone', 'conclusion', 'no', 'amount', 'of', 'tweeting', 'raging', 'philosophizing', 'or', 'praying', 'is', 'going', 'to', 'do', 'diddly', 'squat', 'for', 'them', 'so', 'why', 'bother', 'our', 'energy', 'is', 'better', 'spent', 'arming', 'and', 'insulating', 'ourselves', 'from', 'the', 'muzzrats', 'here']",sweden suicide is a foregone conclusion no amount of tweeting raging philosophizing or praying is going to do diddly squat for them so why bother our energy is better spent arming and insulating ourselves from the muzzrats here,muzzrats,hateful,hateful
1090673738545283074_twitter,"{'label': [0, 0, 0], 'annotator_id': [4, 16, 25], 'target': [['African'], ['African'], ['African']]}","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1]]","['i', 'do', 'not', 'listen', 'to', 'niggershitbullshit']",i do not listen to niggershitbullshit,niggershitbullshit,hateful,hateful
21836106_gab,"{'label': [0, 0, 0], 'annotator_id': [25, 81, 4], 'target': [['African'], ['African'], ['African']]}","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]]","['mfw', 'i', 'm', 'trying', 'to', 'write', 'an', 'important', 'term', 'paper', 'and', 'some', 'affirmative', 'action', 'ass', 'hole', 'starts', 'blasting', 'nigger', 'music', 'outside', 'the', 'window']",mfw i m trying to write an important term paper and some affirmative action ass hole starts blasting nigger music outside the window,nigger music,hateful,hateful
1171476443072581632_twitter,"{'label': [1, 1, 1], 'annotator_id': [221, 207, 204], 'target': [['None'], ['None'], ['Other']]}",[],"['the', 'blur', 'the', 'retard']",the blur the retard,,non-hateful,non-hateful
1116713798075858944_twitter,"{'label': [1, 1, 1], 'annotator_id': [6, 8, 7], 'target': [['None'], ['None'], ['None']]}",[],"['just', 'had', 'kabitch', 'to', 'the', 'jeep']",just had kabitch to the jeep,,non-hateful,non-hateful
17074293_gab,"{'label': [0, 0, 0], 'annotator_id': [231, 223, 202], 'target': [['Arab', 'Islam'], ['Arab'], ['Arab']]}","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]]","['agreed', 'and', 'riyadh', 'and', 'any', 'another', 'place', 'in', 'that', 'cesspool', 'they', 'congregate', 'as', 'i', 'said', 'level', 'them', 'both', 'if', 'we', 'ever', 'want', 'world', 'peace', 'there', 'are', 'a', 'couple', 'billion', 'fundie', 'raghead', 'that', 'gotta', 'go']",agreed and riyadh and any another place in that cesspool they congregate as i said level them both if we ever want world peace there are a couple billion fundie raghead that gotta go,cesspool they congregate level them both there are a couple billion fundie raghead that gotta go,hateful,hateful
24642826_gab,"{'label': [0, 0, 0], 'annotator_id': [46, 4, 59], 'target': [['African'], ['African'], ['African']]}","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","['as', 'evidenced', 'by', 'the', 'fact', 'that', 'they', 'do', 'not', 'attack', 'nigger', 'toxic', 'masculinity', 'like', 'rappers', 'ball', 'players', 'with', 'the', 'same', 'ferocity', 'with', 'which', 'they', 'attack', 'toxic', 'white', 'men']",as evidenced by the fact that they do not attack nigger toxic masculinity like rappers ball players with the same ferocity with which they attack toxic white men,nigger toxic masculinity,hateful,hateful
10647080_gab,"{'label': [1, 1, 1], 'annotator_id': [208, 211, 206], 'target': [['None'], ['None'], ['None']]}",[],"['yeah', 'it', 'a', 'sad', 'for', 'in', 'america', 'when', 'white', 'supremacists', 'start', 'a', 'violence', 'protest']",yeah it a sad for in america when white supremacists start a violence protest,,non-hateful,non-hateful
1179021718515568640_twitter,"{'label': [1, 1, 1], 'annotator_id': [10, 21, 111], 'target': [['None'], ['None'], ['None']]}",[],"['<user>', '<user>', 'i', 'presume', 'the', 'war', 'queer', 'was', 'a', 'character', 'in', 'the', '5', '0', 'th', 'anniversary', 'multi', 'homosexual', 'story', 'day', 'of', 'the', 'homosexual', 'i', 'never', 'knew', 'such', 'a', 'list', 'existed', 'in', '<number>']",<user> <user> i presume the war queer was a character in the 5 0 th anniversary multi homosexual story day of the homosexual i never knew such a list existed in <number>,,non-hateful,non-hateful
1219499223189721088_twitter,"{'label': [0, 0, 0], 'annotator_id': [206, 217, 223], 'target': [['African'], ['African', 'Men', 'Women'], ['African']]}","[[0, 1, 1, 1, 1, 0, 1, 1, 1, 1], [0, 1, 1, 1, 1, 0, 0, 0, 1, 0]]","['“', 'pick', 'that', 'cotton', 'negro', '”', 'or', 'whatever', 'massa', 'said']",“ pick that cotton negro ” or whatever massa said,pick that cotton negro or whatever massa said,hateful,hateful
1171479257417011200_twitter,"{'label': [1, 1, 1], 'annotator_id': [6, 8, 115], 'target': [['None'], ['None'], ['None']]}",[],"['apple', 'watch', 'series', '<number>', 'available', 'in', 'titanium', 'black', 'and', 'white', 'and', 'ceramic', 'new', 'nike', 'models', 'as', 'well', 'apple', 'event', 'apple', 'watch', 'apple']",apple watch series <number> available in titanium black and white and ceramic new nike models as well apple event apple watch apple,,non-hateful,non-hateful
1165449937028636673_twitter,"{'label': [1, 1, 1], 'annotator_id': [7, 115, 6], 'target': [['None'], ['None'], ['None']]}",[],"['why', 'is', 'a', 'nazi', 'getting', '<number>', 'million', 'subs', 'what', 'the', 'fuck', 'what', 'the', 'fuck', 'you', 'guys', 'pewdiepie']",why is a nazi getting <number> million subs what the fuck what the fuck you guys pewdiepie,,non-hateful,non-hateful
18195956_gab,"{'label': [0, 0, 0], 'annotator_id': [223, 200, 202], 'target': [['Refugee'], ['Refugee'], ['Refugee']]}","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","['kick', 'all', 'illegal', 'immigrants', 'out', 'they', 'do', 'not', 'belong', 'here', 'they', 'have', 'no', 'business', 'being', 'here', 'we', 'owe', 'them', 'nothing']",kick all illegal immigrants out they do not belong here they have no business being here we owe them nothing,kick all illegal immigrants out they do not belong here they have no business being here we owe them nothing,hateful,hateful
11678017_gab,"{'label': [1, 1, 1], 'annotator_id': [9, 57, 6], 'target': [['None'], ['None'], ['None']]}",[],"['in', 'the', 'meantime', 'jewish', 'advocacy', 'receives', 'billions', 'in', 'funding', 'from', 'jews', 'and', 'that', 'ok', 'but', 'when', 'whites', 'do', 'it', 'ooh', 'better', 'watch', 'out', 'it', 'all', 'a', 'scam', 'better', 'not', 'organise', 'someone', 'might', 'kike', 'you']",in the meantime jewish advocacy receives billions in funding from jews and that ok but when whites do it ooh better watch out it all a scam better not organise someone might kike you,,non-hateful,non-hateful
1178638779428605952_twitter,"{'label': [1, 1, 1], 'annotator_id': [70, 18, 67], 'target': [['None'], ['None'], ['None']]}",[],"['<user>', 'omitting', 'the', 'part', 'where', 'you', 'raped', 'someone', 'and', 'threatened', 'to', 'kill', 'yourself', 'if', 'they', 'left', 'you']",<user> omitting the part where you raped someone and threatened to kill yourself if they left you,,non-hateful,non-hateful
1178190727987118080_twitter,"{'label': [1, 1, 1], 'annotator_id': [9, 91, 1], 'target': [['None'], ['None'], ['None']]}",[],"['bruhh', 'their', 'outfits', 'for', 'kcon', 'are', 'all', 'white', 'yes', 'it', 'suits', 'them', '🤙', '❤']",bruhh their outfits for kcon are all white yes it suits them 🤙 ❤,,non-hateful,non-hateful
19792641_gab,"{'label': [0, 0, 0], 'annotator_id': [21, 46, 59], 'target': [['African'], ['African'], ['African']]}","[[0, 0, 1, 0, 0, 0, 1], [0, 0, 1, 0, 0, 0, 1], [0, 0, 1, 0, 0, 0, 1]]","['ovomits', 'a', 'nigger', 'and', 'a', 'half', 'nigger']",ovomits a nigger and a half nigger,nigger nigger,hateful,hateful
1179102227887247360_twitter,"{'label': [1, 1, 1], 'annotator_id': [18, 3, 4], 'target': [['None'], ['None'], ['Caucasian', 'Homosexual']]}",[],"['somehow', 'i', 'wish', 'i', 'was', 'the', 'man', 'with', 'the', 'white', 'today', '😅', 'god', 'bless', 'the', 'trap', 'niggas', 'happy', 'october']",somehow i wish i was the man with the white today 😅 god bless the trap niggas happy october,,non-hateful,non-hateful
1178318872950251520_twitter,"{'label': [1, 1, 1], 'annotator_id': [9, 4, 17], 'target': [['None'], ['Other'], ['None']]}",[],"['white', 'people', 'getting', 'too', 'comfortable', 'with', 'using', 'the', 'word', 'ghetto']",white people getting too comfortable with using the word ghetto,,non-hateful,non-hateful
8198864_gab,"{'label': [0, 0, 0], 'annotator_id': [90, 27, 4], 'target': [['Women', 'Homosexual'], ['Women', 'Homosexual'], ['Women', 'Homosexual']]}","[[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]]","['hillary', 'clinton', 'with', 'dyke', 'roomie', 'back', 'in', 'the', 'latter', '<number>', 'still', 'a', 'rotten', 'bitch', 'today']",hillary clinton with dyke roomie back in the latter <number> still a rotten bitch today,dyke rotten bitch,hateful,hateful
1090022971303968771_twitter,"{'label': [1, 1, 1], 'annotator_id': [7, 6, 25], 'target': [['None'], ['None'], ['None']]}",[],"['<number>', '<number>', 'people', 'are', 'removing', 'shoes']",<number> <number> people are removing shoes,,non-hateful,non-hateful
1178921633031114752_twitter,"{'label': [1, 1, 1], 'annotator_id': [30, 17, 9], 'target': [['None'], ['None'], ['None']]}",[],"['<user>', '<number>', 'interracial', 'violent', 'victimizations', 'excluding', 'homicide', 'between', 'blacks', 'and', 'whites', 'last', 'year', 'including', 'white', 'on', 'black', 'and', 'black', 'on', 'white', 'attacks', 'blacks', 'committed', '<number>', 'of', 'those', 'interracial', 'felonies', 'or', '<number>', '%,', 'and', 'whites', 'committed', '<number>', 'of', 'them', 'or', 'less', 'than', '<number>']","<user> <number> interracial violent victimizations excluding homicide between blacks and whites last year including white on black and black on white attacks blacks committed <number> of those interracial felonies or <number> %, and whites committed <number> of them or less than <number>",,non-hateful,non-hateful
1179023905446666240_twitter,"{'label': [1, 1, 1], 'annotator_id': [60, 56, 9], 'target': [['None'], ['None'], ['None']]}",[],"['and', 'that', 'not', 'even', 'the', 'last', 'worst', 'of', 'what', 'he', 'did', 'he', 'claims', 'he', 'raped', 'and', 'murdered', '<number>', 'girls', 'in', 'the', '<number>', 'but', 'would', 'toy', 'with', 'the', 'investigators', 'by', 'confessing', 'and', 'then', 'later', 'saying', 'he', 'did', 'not', 'remember', 'etc']",and that not even the last worst of what he did he claims he raped and murdered <number> girls in the <number> but would toy with the investigators by confessing and then later saying he did not remember etc,,non-hateful,non-hateful
27593057_gab,"{'label': [1, 1, 1], 'annotator_id': [201, 209, 228], 'target': [['Other'], ['Women'], ['None']]}",[],"['brigham', 'and', 'women', 'hospital', 'a', 'teaching', 'hospital', 'of', 'harvard', 'medical', 'school', 'is', 'taking', 'down', 'portraits', 'of', 'white', 'medical', 'legends', 'because', 'they', 'reinforce', 'white', 'men', 'are', 'in', 'charge', 'liberal', 'craziness', 'diversity']",brigham and women hospital a teaching hospital of harvard medical school is taking down portraits of white medical legends because they reinforce white men are in charge liberal craziness diversity,,non-hateful,non-hateful
1178708115035955201_twitter,"{'label': [1, 1, 1], 'annotator_id': [4, 54, 1], 'target': [['Caucasian'], ['None'], ['None']]}",[],"['smh', 'fuckin', 'wit', 'them', 'white', 'girls', 'gon', 'get', 'u', 'in', 'jail', 'bruh']",smh fuckin wit them white girls gon get u in jail bruh,,non-hateful,non-hateful
1179098220217163780_twitter,"{'label': [1, 1, 1], 'annotator_id': [1, 17, 9], 'target': [['None'], ['None'], ['None']]}",[],"['<user>', '<user>', '<user>', 'while', 'i', 'enjoyed', 'the', 'dmz', 'comic', 'i', 'can', 'not', 'support', 'brian', 'wood', 'the', 'creator', 'of', 'said', 'series', 'after', 'he', 'was', 'exposed', 'for', 'sexual', 'harassment', 'multiple', 'times']",<user> <user> <user> while i enjoyed the dmz comic i can not support brian wood the creator of said series after he was exposed for sexual harassment multiple times,,non-hateful,non-hateful
21757892_gab,"{'label': [0, 0, 0], 'annotator_id': [202, 223, 228], 'target': [['Arab', 'Islam'], ['Arab'], ['Arab']]}","[[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]]","['fuck', 'that', 'towelhead', 'terrorist', 'ship', 'him', 'to', 'syria', 'and', 'drop', 'him', 'off', 'a', 'building', 'fucking', 'cuck']",fuck that towelhead terrorist ship him to syria and drop him off a building fucking cuck,fuck that towelhead terrorist him off a building fucking cuck,hateful,hateful
1084991014455201794_twitter,"{'label': [1, 1, 1], 'annotator_id': [6, 7, 8], 'target': [['None'], ['None'], ['None']]}",[],"['we', 'need', 'some', 'women', 'on', 'here', 'with', 'actual', 'life', 'experiences', 'the', 'bachelor']",we need some women on here with actual life experiences the bachelor,,non-hateful,non-hateful
1178839158506364929_twitter,"{'label': [1, 1, 1], 'annotator_id': [9, 1, 160], 'target': [['None'], ['None'], ['None']]}",[],"['<user>', 'it', 'means', 'that', 'they', 'hate', 'gay', 'people', 'but', 'feel', 'uncomfortable', 'admitting', 'so', 'in', 'front', 'of', 'a', 'queer', 'person']",<user> it means that they hate gay people but feel uncomfortable admitting so in front of a queer person,,non-hateful,non-hateful
15731682_gab,"{'label': [0, 0, 0], 'annotator_id': [202, 205, 223], 'target': [['African', 'Other'], ['African'], ['African']]}","[[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","['besides', 'i', 'am', 'irish', 'white', 'nigger', 'spud', 'nigger', 'shamrock', 'nigger', 'leprechaun', 'nigger', 'potato', 'nigger', 'the', 'nigger', 'list', 'towards', 'the', 'irish', 'is', 'long', 'and', 'creative', 'we', 'worked', 'harder', 'and', 'treated', 'worse', 'than', 'blacks', 'and', 'we', 'dont', 'cry', 'a', 'river', 'over', 'a', 'word']",besides i am irish white nigger spud nigger shamrock nigger leprechaun nigger potato nigger the nigger list towards the irish is long and creative we worked harder and treated worse than blacks and we dont cry a river over a word,white nigger spud nigger shamrock nigger leprechaun nigger potato nigger the nigger,hateful,hateful
14540497_gab,"{'label': [1, 1, 1], 'annotator_id': [225, 207, 204], 'target': [['Refugee'], ['Refugee'], ['None']]}",[],"['an', 'emp', 'is', 'generated', 'via', 'the', 'atomic', 'explosion', 'and', 'could', 'be', 'created', 'over', 'the', 'continent', 'miles', 'in', 'the', 'air', 'the', 'fallout', 'would', 'likely', 'stay', 'in', 'space', 'and', 'the', 'housing', 'could', 'be', 'available', 'to', 'those', 'that', 'survive', 'and', 'immigrants', 'from', 'who', 'knows', 'where']",an emp is generated via the atomic explosion and could be created over the continent miles in the air the fallout would likely stay in space and the housing could be available to those that survive and immigrants from who knows where,,non-hateful,non-hateful
1178894690722054145_twitter,"{'label': [1, 1, 1], 'annotator_id': [59, 4, 148], 'target': [['None'], ['Islam'], ['None']]}",[],"['real', 'street', 'nigga', 'ain', 't', 'get', 'nothing', 'but', 'some', 'pain', 'from', 'it']",real street nigga ain t get nothing but some pain from it,,non-hateful,non-hateful
1178837672699269126_twitter,"{'label': [0, 0, 0], 'annotator_id': [21, 11, 44], 'target': [['Homosexual'], ['Homosexual'], ['Women', 'Homosexual']]}","[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]]","['dababy', 'security', 'explaining', 'why', 'he', 'knocked', 'out', 'that', 'dyke', 'should', 'not', 'be', 'as', 'funny', 'as', 'it', 'is']",dababy security explaining why he knocked out that dyke should not be as funny as it is,dyke,hateful,hateful
