id,text,label,class
1.1235941972844298e+18,@realDonaldTrump Gregory you’re so brilliant you tend to forget Your buddy Trumpe doesn’t know how to read. He spen… https://t.co/9m1BreGPG0,NOT,non-hateful
1.1302290912721551e+18,@BoroFCcentral @YoungJby Mate fuck up you downy noncey cunt You touch children you downy fuck I mean you were clear… https://t.co/BQobzC6NxN,HOF,hateful
1.1303131828770612e+18,i want to change to jonghohugs i just don’t want my oomfs to not remember me 🥺🥺🥺,NOT,non-hateful
1.126915188459016e+18,"RT @iamthecreatress: I can’t wait to spoil all my friends with my riches!   “Get in loser, we’re going to Ethiopia”  Here’s $10,000. Start…",HOF,hateful
1.126929709168722e+18,"@AnthonyIdol @Johntucker990 Idk, they look fine to me. 🤷🏾‍♀️",NOT,non-hateful
1.1268549247324896e+18,"Since what happened to me I keep pushing people away from me. Huft, what a trash.",HOF,hateful
1.130247839811031e+18,friendly reminder that @curlyheadotto has my whole fuckin heart and i appreciate him more than he'll ever know 🖤,HOF,hateful
1.1270051688876852e+18,RT @XO_paradize: Mmmm brb going to have a mouth full 🤤 https://t.co/mrpjAr2Ae1,NOT,non-hateful
1.130240885667582e+18,the cramps i’ve had for the last 24 hours can fuck right off,HOF,hateful
1.1270400319385027e+18,Who the fuck is y’all Lexi 🤨 https://t.co/yH4lWsIDk9,HOF,hateful
1.1267829630420132e+18,RT @nutclusteruwu: that....is yalls stupid white ass reactions meeting tom holland in disneyland? are you fucking kidding me i would have d…,HOF,hateful
1.1269469100136202e+18,@CashApp @CashSupport CUSTOMER SERVICE “CLOSES” at 6 and I have yet to receive an update about my refund !!,NOT,non-hateful
1.1235131381697658e+18,Idk if i'm late already 'cause fucking time zones but it is/was your birthday right @soakedry ?? You've cheered me… https://t.co/EAD84VcxW1,HOF,hateful
1.1236496376158452e+18,@Depndz @FortniteGame Delete this shit dawg,HOF,hateful
1.126903817700823e+18,first of all don't you dare badmouth our goddess and second of all shut your racist ass already,HOF,hateful
1.1269350107605196e+18,"RT @GeanineC: 👩‍✈️TRUMP FORCE ONE - DON'T MISS IT! ✈️  Each Friday evening, stop by @GeanineC's &amp; fly with me! You won't need an airport sh…",NOT,non-hateful
1.1237621162536836e+18,@teardropbailey I thought that was just for creators?,NOT,non-hateful
1.1302094158088477e+18,RT @S3nsiMolly: BIG FACTS BITCH @itsbigbrook https://t.co/fnBIbbF7rS,HOF,hateful
1.1269304809290916e+18,RT @ShannonSharpe: Tuskegee better get an alum that’s on air to go hard for their school like I rep my SSU🤷🏾‍♂️ https://t.co/7UdNJyDgvK,NOT,non-hateful
1.1236049305002063e+18,What language is @ChuckGrassley speaking? I don't think that's English. I think it's Drunk Raisshion.  Now he's try… https://t.co/6cx0n5S8S0,NOT,non-hateful
1.1302693817815409e+18,RT @kmaarrie: No one views your stories faster than a mf u no longer fuck with,HOF,hateful
1.1303416664164966e+18,"RT @pulchritudeusa: oh, i just need the time that you can't find. i just need to know that it's still mine.  — #NCT127 #YUTA #유타 https://t.…",NOT,non-hateful
1.1270239635765984e+18,Why my head gotta be so damn big 😔,HOF,hateful
1.1269281278994432e+18,woman pussy porn old movie fat guy fucks skinny girl hot naked lesbians fucking can girl guy if tell virgin 🐰 💗 fam… https://t.co/jZbs57ZluN,HOF,hateful
1.1267400972509348e+18,You’re my person ☺️,NOT,non-hateful
1.1235619137476362e+18,"there are idiots in every country, fuck off",HOF,hateful
1.1237377808850492e+18,RT @brizeidaturtles: any bitch that gets in my mans face like that is getting rocked. PERIOD https://t.co/v3f75HZlWj,HOF,hateful
1.1270431986255052e+18,RT @frodeci: The Black woman on the train told her “worry about yourself” and she didn’t listen fjdjdjdsksksk 🗣 cinco de mind yo fucking bi…,HOF,hateful
1.1269923301190532e+18,My mom wants me to date my neighbor’s grandson that I haven’t seen like in years and he’s 2 years younger than me uhmm,NOT,non-hateful
1.1268567576141372e+18,"RT @ChrisMegerian: “We’re not meddling in an election, we’re meddling in an investigation, which we have a right to do.” Another memorable…",NOT,non-hateful
1.1237650229147444e+18,I think Joe lowkey was fanboying skkd,NOT,non-hateful
1.1237366274682264e+18,RT @alonestfeels: fuck u for keeping me around to make you happy until you didn’t need me anymore and left me alone wondering where I went…,HOF,hateful
1.1268450513410292e+18,@CyrusMMcQueen People on septic systems don't have garbage disposals either. Compost that shit.,HOF,hateful
1.1238237180007342e+18,"RT @producerknj: all the shit we had to put up with all these years. calling bts westernised,,,,they finally won an american award for thei…",HOF,hateful
1.1302116933116682e+18,@malditasosvos I literally know that exact spot on the freeway it’s the worst fucking part,HOF,hateful
1.1301783150277508e+18,RT @stfutony: imma need these gas prices to     |   👀   |    \          /  ____| |_____ /        ✊🏻__/ \_✊🏻  go the fuck down,HOF,hateful
1.1268450513409352e+18,it's just a very simple gesture pero the fuCK GAGO KINIKILIG AKO???? https://t.co/F1VZabm6Uc,HOF,hateful
1.1269998546835252e+18,i need you more than words can say,NOT,non-hateful
1.1270090989590282e+18,"RT @Brett1106: You can have all this, a hoodie, stickers, comics, and so much more if you're one of 20 lucky people to sign up for the Myth…",NOT,non-hateful
1.1235111878055772e+18,RT @bxngtxn_bunny: Scroll down ⠀  ⠀⠀  ⠀  ⠀ ⠀  ⠀ ⠀  ⠀ ⠀  ⠀ ⠀  ⠀ Keep scrolling  ⠀  ⠀ ⠀  ⠀ ⠀  ⠀ ⠀  ⠀  ⠀  ⠀  ⠀  ⠀  ⠀ now you’re obligated to r…,NOT,non-hateful
1.1237197537916068e+18,@bigjosh002 Bitch,HOF,hateful
1.1268470771939613e+18,RT @a_balbuenaa: stupid ass law https://t.co/g2EdZxfAC4,HOF,hateful
1.1268437888386292e+18,RT @jazzyBOOvega: half of y’all don’t deserve my friendship or companionship and that’s that. I’m tired of y’all treating me like shit and…,HOF,hateful
1.1301484641747436e+18,Aye you're good bro? 😔,NOT,non-hateful
1.126954182919897e+18,"@RudyGiuliani STFU you senile, corrupt old fool!",HOF,hateful
1.1268493798375424e+18,RT @vuronicas: she said “so this is what you dumb ass bitches have been up to this whole time” https://t.co/tKQ2jZOTEf,HOF,hateful
1.1235881868720864e+18,RT @EdKrassen: It’s official. President Trump is having a mental breakdown over firefighter support of @JoeBiden this morning.,NOT,non-hateful
1.1301706855973315e+18,Y’all say we on the come up -  We gotta start acting like it lmao,NOT,non-hateful
1.1268741807487055e+18,RT @cjohnsonspider: The guy is douche bag and he gets what he deserves - karma https://t.co/g29seOJtTx,HOF,hateful
1.1270198321830708e+18,The man lol fuck dem kids they ain’t paid for a bitch ass thang .. if you don’t workith thou shall not eat,HOF,hateful
1.1301423153293272e+18,RT @sighbrattt: Me: let it go Also me: if bitches wanna act funny we can act hilarious as fuck,HOF,hateful
1.1236965466992516e+18,RT @sofiarrico: if u don’t vote @JesusD62101 for prom king you’re ugly,HOF,hateful
1.1238293802900888e+18,@nonsookongwu @MrOdanz @aproko_doctor ... ain’t shit.,HOF,hateful
1.1270513187894312e+18,RT @GiGiHadid: Y'all Niggas On Some Other Shit,HOF,hateful
1.127063247415386e+18,PHAT ASS PHRIDAYS POPPIN OFF NOW AT https://t.co/FlCkDEwpFi,HOF,hateful
1.130211185805054e+18,Morning and wuv you💕🙈,NOT,non-hateful
1.1302399964709967e+18,He's Gonna get a Date with Pete tonight ! 😭😂😭 https://t.co/9a3EZ7AoV8,NOT,non-hateful
1.1269318985703503e+18,@BryanBroaddus Don’t know why we need Suh @madilynspap 🤷‍♂️🤷‍♂️🤷‍♂️ waste of cap space,NOT,non-hateful
1.1267442705834188e+18,RT @LifeOfJay98: Me: should I do it?   My friends: no   Everyone: no   Universe: no   Me: ok fuck it imma do it,HOF,hateful
1.1235485884229016e+18,"RT @spalding_loverr: Who Ever Recoding Just Saying any fucking thing, Talm bout Agitha bigtha Beat 😭😭😭💀 https://t.co/GmCDP1UWqe",HOF,hateful
1.127053340465074e+18,We don’t need this. Lol,NOT,non-hateful
1.1270215769923502e+18,"RT @kayriuh: Our stupid asses decided to do an ig live while making pancakes during puasa, sincerest apologies :( https://t.co/mkXh6qmFEa",HOF,hateful
1.1235992682232996e+18,RT @nickhansonMN: don’t say you’re gunna change when you know you won’t,NOT,non-hateful
1.1269567456481649e+18,Every time i sell an adopt i think of that “he is SOLD!” Video with that petshop puppy dancing to music,NOT,non-hateful
1.123765312325849e+18,"RT @ChanelChainzzz: Have your own goals, work the hell out of yourself to get to them goals, smash the hell out of them goals and then beco…",NOT,non-hateful
1.1237643769750936e+18,"RT @tribelaw: He’s as worthless a witness as he is an attorney general. Subpoena his sorry ass, hold him in contempt when he’s a no-show, b…",HOF,hateful
1.1302409066391388e+18,RT @GoddessLexi7: Would you prefer getting 10€ from a poor guy or 50€ from a rich guy? — This is a dumb ass question https://t.co/ySQOvl8Tu9,HOF,hateful
1.1235845713442895e+18,"RT @FollowMeToo3: If you do what you've always done, you'll get what you've always gotten. -Tony Robbins",NOT,non-hateful
1.1268365830203556e+18,"RT @MissCocoDeluxe: When you're minding your business and ppl come asking for trouble, that's on them, it's up to you how you react.",NOT,non-hateful
1.12685057940421e+18,You're so good at making sweet lies.😪,NOT,non-hateful
1.130333810485334e+18,ANOTHER JON ARYA GOODBYE? Y’all ain’t shit. #DemThrones,NOT,non-hateful
1.126921438001283e+18,RT @SpillerOfTea: The fucking state of the FA.  21 year old man found to have posted unpleasant shit on social media when he was 15:  £5k f…,HOF,hateful
1.123654196807512e+18,this is the closest ill ever get to getting an ashley selfie,NOT,non-hateful
1.1235902462458798e+18,"RT @btsanswer: underrated queen of fancams, give dahyun the recognition she deserves or you’re homophobic  https://t.co/W8vFf9guAr",HOF,hateful
1.123678569908011e+18,@edbanger1 @TfLTPH Some idiot sat in an office planning that.. never driven in London and commutes to the burbs 👍🙄,HOF,hateful
1.1301504397045636e+18,@NathanHRubin He’s a dolt.,HOF,hateful
1.1268542745903022e+18,WHEN WILL I EVER,NOT,non-hateful
1.1270505009379613e+18,"@Joy_maaarie i was finna say, franklin be on that racist bullshit",HOF,hateful
1.1300817621540904e+18,RT @delmiyaa: Samini resetting the show and moving things along as if nothing happened is all you need to know about his greatness.,NOT,non-hateful
1.1237715702316974e+18,@bashwills @HappyHenryWorld @cizlfab @TheBlastNews The child need to learn to respect animals. That is the responsi… https://t.co/68nw9qA21w,NOT,non-hateful
1.1236969451455036e+18,my wife bought us tickets to a late night Deerhunter show at The Earl (which is a tiny ass bar) and a room at a Kim… https://t.co/a8kbNjRHYI,NOT,non-hateful
1.1302857982957812e+18,@yoshi_lab863 It’s always been my shit! I wasn’t even allowed to say the cuss words back then but Fuck it  🤣,HOF,hateful
1.1237077832396676e+18,"RT @funder: Dear Attorney General Barr-  Today you disgraced our great country. You’re clearly a fraud, a liar and a cheat. You didn’t look…",HOF,hateful
1.1270588056598813e+18,"RT @naaaav12: Instead, we got hoes in Sac saying “he shoulda just jumped” because he caused traffic https://t.co/CZb9uT8yTD",NOT,non-hateful
1.1303273638191183e+18,@omz__music @CraigLiddell58 @realDonaldTrump It was the first time they realized when the president or a presidenti… https://t.co/PXzbfCxSUG,HOF,hateful
1.1301417784626094e+18,RT @Brokeboizoo: Man fuck these offerUp niggas https://t.co/3LRT1iQDYu,HOF,hateful
1.1269056002840576e+18,Update: a man checked my bag and it was over but he didn’t say shit. WIN.,HOF,hateful
1.1270440962021336e+18,Rahkal been calling me buck wild ... HOW THE FUCK! LMAOOO,HOF,hateful
1.1269838072724111e+18,RT @abdelazizfawz: you're not reading this by accident  this is your confirmation  you're going to make it  no matter what  it looks like r…,NOT,non-hateful
1.1238008003236044e+18,"I hope she's admitted. The #library profession could use more people of color, that's for sure. And she's been talk… https://t.co/PJ70LBA8qt",NOT,non-hateful
1.1236400368204308e+18,@TheLordYusuf You never start,NOT,non-hateful
1.1234923973404794e+18,RT @Avengers: Get your look at Marvel Studios’ #AvengersEndgame character poster art from @BossLogic! Which design is your favorite? Get ti…,NOT,non-hateful
1.1267663158368296e+18,@EilisPhillips @HelenVMurray 😂 Although I can't think of a better group of people to be on this list with! 😘,NOT,non-hateful
1.1235799408704591e+18,RT @NonToxicCat: @LindseyGrahamSC I’m going to enjoy your bullshit chairmanship blowing up in your face today when questions in the hearing…,HOF,hateful
1.1269726001046488e+18,TAWK THAT SHIT,NOT,non-hateful
1.123818810643972e+18,RT @KikiAdine: One of the few tolerable things that has come out of trump’s mouth (probably ever) is one of my new favorite words: Hamberde…,NOT,non-hateful
1.1237511397474876e+18,@BernieSanders Bernie will never be the President of the United States of America. https://t.co/O0FPo0bTc9,HOF,hateful
1.1237320011509105e+18,@etnow @SofiaCarson @BTS_twt @GettyImages no. she was rude as fuck,HOF,hateful
1.130075189696434e+18,I unlocked $20 Rush tickets for #DyingCity at @2STNYC on @TodayTix! Unlock here: https://t.co/h3UT5KDvB3 #TodayTixRush,NOT,non-hateful
1.1267672763283087e+18,Nobody fucking asked https://t.co/dtjERRZKU7,HOF,hateful
1.1270872178711348e+18,@nowthisnews @AOC An idiot did her little fake voice thing for a minute.,HOF,hateful
1.1237486441366076e+18,See what happens when you put GMOs in our food? People do extremely dumb shit.,HOF,hateful
1.127049674622423e+18,fuck jojo and his stupid fucking adventure,HOF,hateful
1.1238178459876556e+18,RT @brifothergill: They will need tin hats when Ann go's to Brussels they will wish that we had left on the 29 of March she is worst than F…,NOT,non-hateful
1.1235512308511456e+18,you’re May 1 and only,NOT,non-hateful
1.1302026546074952e+18,&gt;sees I get put on a close friends list on IG &gt;watch the story &gt;person is doing a line of blow &gt;instantly blocked a… https://t.co/iwU8PX3FjM,NOT,non-hateful
1.1302996184939068e+18,@GameOfThrones @HBO I think they could have done a better job!!!!! Jon Snow should have been king,HOF,hateful
1.1237871478557696e+18,RT @amarixxah: i don’t entertain clown shit . 😌,HOF,hateful
1.1238291538186076e+18,"RT @RaheemKassam: You're aware ""free speech"" doesn't include knowingly libelling people to hundreds of thousands of people, right? You shou…",NOT,non-hateful
1.127014958389244e+18,Y’all gotta learn to read. Like I said IDC WHAT YOUR OPINION IS. like I dead ass don’t. @Josuepacheco_0,HOF,hateful
1.1270547036054856e+18,RT @tropicsass: They boutta fuck it up 🔥 https://t.co/5hFRdLsx11,HOF,hateful
1.1270023544846991e+18,"@Djyeo @Facejacker @TerryTibbs @KayvanNovak @Channel4 @E4Tweets @HatTrickProd ""I'll put some full fat milk on that Alpen""  😂😂😂😶",NOT,non-hateful
1.1268158715553588e+18,RT @adasomg: @realDonaldTrump President Trump will be remembered as the man who stopped China from dominating the world with their criminal…,NOT,non-hateful
1.1301526752853071e+18,They ask me what's the difference between me and the rest of these niggas? I ain't shit like the rest of these niggas!,HOF,hateful
1.1303191052553052e+18,"RT @DMNug: Jamie Lannister is the nastiest skank bitch I have ever met. Do not trust him, he is a fugly slut. #GameofThrones #GOT https://t…",HOF,hateful
1.1301319973498756e+18,@RealitySuSu69 Surgery went well. Anesthesia made me sick for a couple days. 🤢 My son is doing ok. He misses home.… https://t.co/zW0rBWI6JV,NOT,non-hateful
1.1270599003565464e+18,RT @PrisonCookies: I saw that motherfucker  ~ me when I see a motherfucker doing motherfuckery shit,HOF,hateful
1.1238129050807704e+18,RT @imjust_ASIAY: To be my nigga you gotta do certain shit. I’m use to being treated a certain way,HOF,hateful
1.1268694244374528e+18,Where do people get off on being such fucking vile retards ??? If u having nothing nice to say go n suck a dick,HOF,hateful
1.1237922607249284e+18,pls fucking @ me ok,HOF,hateful
1.1268673985674812e+18,RT @milkygoddess: u don’t need anybody who clearly doesn’t need u,NOT,non-hateful
1.1269690642939002e+18,RT @Swiftness13: The Track 5 pin is exactly the same as the track 5 Easter egg in the Delicate music video. The vertical video was when Tay…,NOT,non-hateful
1.1236381703801896e+18,"@chrisiousity @EssenceOfTweet Oh man I kinda like TTA, too.  No idea what he’s going on about here, but it seems really stupid.",HOF,hateful
1.1237703832143052e+18,RT @outrotear: ellen: h- joon: ah sh*t here we go again https://t.co/JvGFmH3N5j,HOF,hateful
1.1269461550431436e+18,@Tandy__G Why do you think that is the case ?,NOT,non-hateful
1.1268615936758744e+18,RT @modooborahae: Kim Sumi is a veteran actress and amazing cook (she’s on Sumi’s Side Dishes). “What is this? An album? Ohhh yeahhhh. Look…,NOT,non-hateful
1.127029529397084e+18,"I just made food and I'm making myself sick to my stomach. Lol, wtf is this shit",HOF,hateful
1.1236691369100328e+18,"@TedMcClelland Been a minute, but: https://t.co/kGNzKtEyDM",NOT,non-hateful
1.123755334064124e+18,Damn 🔥,HOF,hateful
1.130172132649046e+18,RT @seanstorm5: America is the most fucked up country https://t.co/cP6TYVX0Q9,HOF,hateful
1.1270147444670464e+18,@corybarlog Pfff. Kojima don't don't do that shit either.,HOF,hateful
1.126739187091161e+18,RT @juuicy_jvvy: I never say bye because Bye means forever; instead I say see you later. ☹️,NOT,non-hateful
1.1235965670705437e+18,RT @JayZ0verrat3d: “You’re homophobic”   “I know” https://t.co/CXF2jbvfdC,HOF,hateful
1.1269147774422095e+18,"RT @BTS_ARMY_OS: ARMY keep it up! Go go! 🔥  Drop your favourite HOBI 💜 pics, gifs or videos and add the hashtags to vote!   RT is a vote to…",NOT,non-hateful
1.1267368131150724e+18,Friend who was attack victim https://t.co/b8vwMld9W8 … … … … … … … … … … … … … … … … … … … … … … https://t.co/Cj1LHht6Ef,NOT,non-hateful
1.127009103136604e+18,@JimWhiteGNV Little ball.  Now does the mascot live in a swamp or the ocean?,NOT,non-hateful
1.1267849301790556e+18,God i need my own damn car,HOF,hateful
1.123649419495211e+18,"No exes, no old niggas. Ain’t stuck on nobody, not rekindling shit. I’m free 😌🤣",HOF,hateful
1.1301523019629568e+18,"Sadly, due to the late deliveries made that period out of work overload (I suck at outsourcing jobs), my account wa… https://t.co/7y14yJeWDm",HOF,hateful
1.1269060071527342e+18,"My feelings put em in da trash, a hunnid got dat shit in cash",HOF,hateful
1.1303053479426048e+18,Of course now I’m starting to feeling like a fucking idiot for being satisfied with how it ended. So i’m just gonna… https://t.co/UkC5AJjuC9,HOF,hateful
1.1269606547185212e+18,RT @AB_Bautista34: “big blunts this way bitch” 😂😂😂 https://t.co/5S3KrLlBvH,HOF,hateful
1.1303062203494154e+18,RT @s_rxii: it makes me sick that families have to go through this much length to protect their own from the police https://t.co/PzIL6lQW0W,NOT,non-hateful
1.1267827701168004e+18,"Last night I saw one of the slowest pieces of theatre ever, which would normally be a criticism, but 'Die! Die! Die… https://t.co/kQX5Uk6BUU",NOT,non-hateful
1.1300587354250854e+18,"what in the fuck happened last night man, some random gripped me out of nowhere and found out his name, if he doesn… https://t.co/s0Iscj6cuv",HOF,hateful
1.1302879541470536e+18,Never knew Drogon had a consciousness LMAO he said fuck that throne bruh,HOF,hateful
1.1268214122353704e+18,"U no what,  i cant b mad at paul p... i mean the celtics retired this man's number an he won wit them. But ryan smh… https://t.co/LYDCzzytt3",HOF,hateful
1.1268578019916227e+18,@realDonaldTrump Serious question:  What the fuck is wrong with you?,HOF,hateful
1.1302442494910586e+18,RT @exozerofour: his smile??? my knees are weak he’s SO handsome https://t.co/vaQdGpd4L5,NOT,non-hateful
1.1236523093665752e+18,"RT @mama2rowan: ugh i am SO obsessed with moonstone rings. i don’t need a big fat diamond, this is all i want 😍 https://t.co/hm1R3PQUfk",NOT,non-hateful
1.1268809210036593e+18,@ayye_ray_ray cant lie that shit had me wantin more,HOF,hateful
1.1235060120597668e+18,"RT @kandsltd: Kris Stronge doesn’t need Apple Music,  he can fit vinyl LP’s in his coat pockets!!  #bowie #nirvana #vinyl #recordcoat https…",NOT,non-hateful
1.1300102367173428e+18,"Well, today I was able to found all flags in a CTF, for three months I've been practiced in machines, secure enviro… https://t.co/mVTkVCzY5X",NOT,non-hateful
1.1303014597934365e+18,RT @TashaAhrens: That was stupid.  Biggest bullshit ive seen. They took something i loved at turned it into shit. So pissed i could throw m…,HOF,hateful
1.1237395886510284e+18,@bacibobo1919 @itsmikebivins @MrAndyNgo How would he? Hes a liar. Calling someone what they are is pretty easy to defend in court.,HOF,hateful
1.1269869530128302e+18,I think the reason why I don’t really like the “farmhouse style” is because I know I could never pull it off. Too m… https://t.co/1FWEv3WOM1,NOT,non-hateful
1.1269195841064058e+18,@bomsmaid we’re the same guy even tho I have a vagina 🤠,NOT,non-hateful
1.1302874256899686e+18,"@DonaldJTrumpJr What a stupid, useless point.",HOF,hateful
