platform,topic,content,toxic,toxic_one_hot,toxic_type,toxic_type_one_hot,expression,expression_one_hot,target,length,label
zhihu,region,跟犯罪率没有必然关系，跟历史，语言，文化原因有很大关系。地域冲突本质上是男人间的冲突，安徽男人相当一部分是哪怕外表客气，内心里还是相当自大的，老子天下第一，即便兜里没钱。至于你在另一个回答里面说安徽男人性格软，说明你根本不了解身边的安徽男人，当年在天涯上海，一群安徽人要打著名上海喷子“趴趴鸭”。可以说，历史上欺负江浙沪最多的就是安徽人。除了我之前列举的那些，还有明朝时淮西集团对浙东集团的打压。为什么明朝时东林党最后只顾党争不顾国家，因为他们基本上都是苏南浙江官员，鼎鼎大名的钱谦益就是代表。江浙沪三地，真正优秀的是浙江人，安徽人与浙江人合作容易成事:比如周瑜与孙权，朱元璋与刘伯温。浙江人兼具才华，胸怀，城府，隐忍等诸多品质。江苏人跟浙江人比，缺少胸怀与城府，心里藏不住事，啥都表现在外表，得罪人最多。至于传统意义上的上海人，在上海将会越来越边缘化，上海滩真正牛逼的是浙江人。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",390,non-hateful
zhihu,race,不要看到几个就觉得霉黑很严重，反正我见不少黑人，只看到一个体重两百斤的没黑女和黑人在一起,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 1, 0]",44,hateful
zhihu,region,网上被黑的最惨的几个地方:河南，东北地区，广西。一般惨的:北京，山东，安徽，山西。剩下的就是比较少的，我也有看到内蒙，新疆，西藏，湖北，湖南，陕西，甘肃，海南，贵州被黑，其他地方没看到过🍉,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 1, 0, 0, 0]",97,hateful
tieba,race,百万分之一,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",5,non-hateful
zhihu,lgbt,太长不看，点赞表示谢谢留言。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",14,non-hateful
zhihu,race,骄傲，但是匿名😓,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",11,non-hateful
zhihu,lgbt,这样的解释就足够明确了，我尊重你的观点,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",19,non-hateful
tieba,gender,婚前就同居？,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",6,non-hateful
zhihu,race,绝对不可能，当然避免被喷，我觉得在讨论接受与黑人处过的女孩前，先问清楚她为毛非得和黑人处，以及后来处不了分手的原因。,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 1, 0]",58,hateful
tieba,gender,大多是被后天教育出的利女男，以为能用舔和服从换来爱情此类人是优良的供养者,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 0, 0]",36,hateful
zhihu,race,确实，结婚我不敢说，但是谈恋爱真的很简单……😲,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",26,non-hateful
zhihu,race,1孩子都是女人生的，为什么多几千万，你们女人最清楚。2.我没看懂。3.为什么不是双标？女人和男人不一样。你的女儿被别人玩了，和你的儿子玩了别人能一样吗？等你有儿女了你就明白了。再说了在民族利益面前，双标算什么？美国为了自己的利益，不是每天都双标吗？而且美国照样世界第一。不双标有可能是没有能力双标而已，并不是因为道德感。4.有什么不敢承认的，人口本来就是资源，为什么要让给外国人，这些外国人拿着中国补贴，打着中国疫苗，玩着中国女人，嘴里说着我爱中国，转过头就在外网上曝光easy girl 并配上污秽不堪的文字羞辱中国人。外国人强奸中国女人的新闻有多少被压下去了？新闻爆出来的只是冰山一角。未完,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 1, 0]",297,hateful
zhihu,lgbt,榴莲确实难闻，因为有硫化物的气味，但是吃起来确实香，因为含脂类化合物。说难闻的是因为没吃，说好吃的是因为他不在乎气味而在乎口味。但是从生理学讲，同性恋就意味着断子绝孙了，有悖于一个物种繁衍后代的初衷，如果全社会支持同性恋，不排除很多人从小就被掰弯的可能，中期将会面临伦理和道德的挑战（例如完全可以近亲同性恋，跨辈分同性恋，想要的小孩却不是亲生的导致后代心理扭曲），长期会面临人类灭绝的风险（人类或许没有动力繁衍了）。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",208,non-hateful
zhihu,race,😅这人男的，你看他往期回答，笑死个人。尤其是88年女相亲那个。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",34,non-hateful
zhihu,race,我可以接受非处，但是绝对不能接受跟黑人搞过对象的，更不能接受黑人女孩，哪怕是处都不行,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 1, 0]",42,hateful
zhihu,region,宿迁？神苗？,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",6,non-hateful
zhihu,race,找乌克兰的还好理解，找黑的真想不到在别人眼里他的下一代和国女生的黑孩没啥差别吗？😅😅,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 1, 0]",48,hateful
zhihu,lgbt,这话说的，凭什么就允许别人在网上说自己喜欢吃屎，不允许别人在网上说讨厌吃屎了？,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",39,non-hateful
tieba,gender,哥们我支持你，好女人值得珍惜，既然他欺骗你在先，那就没必要有负罪感！,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",34,non-hateful
zhihu,lgbt,而更多对同性恋抱有偏见的人他们偏见的方式是通过侮辱诅咒同性恋，通过散播自己本就不健全的三观，用各种伪科学或者哲学观点来证明同性恋的劣等和同性恋不该存在在世界上的扭曲变态思想，这种人还挺多的。如果有人告诉他他的这个想法是错的，他就会好像一个被爸爸妈妈惯坏的孩子，在受到社会的毒打后通过发狂和哭泣的方式伤害对他造成心理“伤害”的来源。但你不一样，你对txl除了不伤害，也给自己推倒之前偏见的机会，这还挺好的，这点连很多同性恋自己都做不到。,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[1, 0, 0, 0, 0]",217,hateful
zhihu,race,我就想看看题主的答案,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",10,non-hateful
zhihu,race,ab言论是什么？,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",8,non-hateful
zhihu,lgbt,现在丁克也很多呀，他们也没有孩子，难道也是自私吗？,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",25,non-hateful
zhihu,region,江浙可是被搞得方言都讲不了了，嗯，这叫有话语权,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 1, 0, 0, 0]",23,hateful
tieba,race,送去日本吧,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",5,non-hateful
zhihu,lgbt,道德绑架够溜 你没有反对我们不喜欢同性恋的权利 正如你没有反对地球是圆的权利 这些必须就这样 不然你就是双标,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[1, 0, 0, 0, 0]",54,hateful
tieba,race,美国也搞和谐,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",6,non-hateful
tieba,gender,舔狗的自我修养，女拳越是猖獗他们越觉得应该抓紧舔，自己卷自己了属于是,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",34,hateful
tieba,gender,我tm用手机看还能怎么看,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",12,hateful
tieba,gender,反女拳是因为：他们并非善类，绞尽脑汁把广大女性作为工具，来发泄他们对夫权和父权的仇恨。（对女性也没有善意，一旦女性有不同观点不同价值观，也同样会被他们攻击辱骂）,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",80,hateful
tieba,race,你说得挺对，但也很废话。你看现在反嘿的哪个有权力？你有权力吗？现在就是真正有权力的还助邹为虐,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 0, 1, 0]",46,hateful
zhihu,race,回到西周前了吧,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",7,non-hateful
tieba,race,能把这小倪格掐死吗,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 0, 1, 0]",9,hateful
tieba,lgbt,同性恋总是爱跟异性恋比较，认为自己做的错事别人也会做所以把自己做的错事合理化，只会不断错下去乱下去。连染艾染病后也觉得跟异性恋差不多。同性恋不会正视自己跟异性恋生活上的不同之处，只会看异性恋的缺点不会看异性恋的优点,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[1, 0, 0, 0, 1]",107,hateful
zhihu,race,黑人有奖学金还不用高考,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",11,non-hateful
zhihu,race,但现在说的基本全是国男了用来嘲讽女性 不管是谁说 反正这么说的都是不尊重人的,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 0, 1, 0, 0]",38,hateful
tieba,gender,吃着碗里的，看着锅里的，吃自己的那份还不够，还要到男人的饭碗里争食！据说，有一个女权主义者已经到相关部门去申请了?男人的饭碗的所有权?！不可思议~据说，那个部门叫：控制欲旺盛政客?理论强奸?他人知识库！,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 0, 1, 0, 0]",101,hateful
tieba,lgbt,6，能担起家庭责任，与妻子心知肚明，各丸各滴；,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",23,non-hateful
zhihu,lgbt,让别人尊重的前提是别影响到别人😆,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",19,non-hateful
tieba,gender,搞不懂，这是女性向的饮料吗？,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",14,non-hateful
zhihu,race,我同事女朋友和黑人搞了，😅，他吓一跳，立马去医院，爱就一个滋😅,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 1, 1]",37,hateful
zhihu,region,关键她是维权😆以前都站消费者的南大人，突然觉得你一穷省找安啦上海银麻烦哦🙄,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",43,non-hateful
tieba,lgbt,口罩之下的真面目！,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",9,non-hateful
zhihu,race,建议在座各位男性，好好教育自己的姐妹女儿，不要房车彩礼，自带房车嫁妆，自己随夫姓，孩子随父姓，守好妇德，出门把自己蒙严实了，除了丈夫谁也不许看。然后你们可以介绍自己的姐妹女儿给彼此，如果没有，就劝自己的父母拼个三胎，反正男人永远喜欢年轻的。最好拼个四胎五胎，争取实现一夫多妻。中国女人不能输给她们。,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 0, 0]",149,hateful
zhihu,region,知乎三臭唐山 河南 上海人😄,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 1, 0, 0, 0]",17,hateful
zhihu,race,人你不找，非得玩人与兽，不恶心吗,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 1, 0]",16,hateful
zhihu,region,第一次接触河南人是我在闲鱼卖我的二手相机，本来价格很便宜了，也没什么毛病，结果发过去了各种跟我说相机有毛病，说镜头发霉，根本就是无中生有，我说不卖了他也不干，后来实在懒得跟他扯，也怕给我发一个坏相机回来，给少了一百块，期间各种心累，印象确实有点不太好了，当然这只是少数人,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",135,non-hateful
tieba,gender,所以家暴有理了？君子动口不动手知不知道？,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",20,non-hateful
tieba,gender,前段时间整的喷吧被冲了就不让发言了,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",17,non-hateful
zhihu,race,管管黑心酱油，吃了以后孩子都变黑了,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 0, 1, 0]",17,hateful
zhihu,region,东北人彻底麻木,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",7,non-hateful
zhihu,region,从小偷井盖，攒钱卖羊肉串，来人问你这串保熟不？你拿着切糕的刀给他砍了。,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 1, 0, 0, 0]",35,hateful
zhihu,lgbt,这也是醉了。什么时候异性恋还需要别人认可了？,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",22,non-hateful
tieba,gender,这个emoji有啥关系？,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",12,non-hateful
tieba,lgbt,反同的人寿命短可能因为做了同妻同夫自我了断但只是少数人会这样,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[1, 0, 0, 0, 0]",30,hateful
zhihu,region,2021年，西北某211大学，大三，如此受过高等教育的学生，我竟然还有两个舍友组团黑河南，还是那种理智分析地黑，麻了😅,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 1, 0, 0, 0]",62,hateful
tieba,lgbt,3，能担起家庭责任，短期内姓生火尚可随后变冷淡，经常偷偷出瑰；,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 0, 0]",31,hateful
tieba,gender,给彩礼也不嫁什么诈骗犯,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",11,non-hateful
tieba,race,人和人当然平等，人和猩猩平等？,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 0, 1, 0]",15,hateful
tieba,race,这还不好看？白人黑人比这边好看多了。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",18,non-hateful
tieba,race,黑浑身都是臭的,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 0, 1, 0]",7,hateful
zhihu,lgbt,没见过基佬工程师,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[1, 0, 0, 0, 0]",8,hateful
zhihu,race,普通女性占女性总人口的比例还是太少了，女拳、媚外的的占了绝大多数🤣,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",37,hateful
tieba,lgbt,而你晚上是被关狗笼里所以无法发言对吧？毕竟是个吃软饭的能有个狗笼住就不错了，不然你在每个凌晨的整点时间段回我一句呀,1,"[0, 1]",1,"[1, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",57,hateful
tieba,lgbt,电脑不能投票？,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",7,non-hateful
zhihu,race,那些嫁给默的国女能自愿放弃中国国籍，绝对值得立牌坊。,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 1, 0]",26,hateful
zhihu,race,我怀疑你在侮辱窑姐，即使窑姐接了还挣钱的呢，她们白给甚至倒贴🤔,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 0, 0]",34,hateful
zhihu,region,成都人做的事与四川无关😓不要乱绑定😆,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",24,non-hateful
tieba,gender,不能让热度下去,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",7,non-hateful
zhihu,race,有一说一 人类进化就是靠杂种推进的 你圈起来养的那些个观赏动物才在意纯种 血统论的目的主要是为了给种族歧视创造合法性 虽然我是皇汉 但是不建议整这种活嗷,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",76,non-hateful
tieba,gender,女权师疯狂成这个样子她们要刀谁？或许仅仅看着她们每天把自己置之死地的样子，就很美妙呢,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",42,hateful
tieba,race,努力姐专门骗中国女人嫁非洲，和蝴蝶姬一样,1,"[0, 1]",2,"[0, 1]",3,"[0, 0, 1]","[0, 0, 1, 0, 0]",20,hateful
tieba,gender,我说的是，小藓女她求分享，楼主不理她，她就开贴引战，还带了舔狗来。,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 1, 0, 0]",33,hateful
tieba,lgbt,但是我们要“理解”基佬，因为它们在现实生活中活得太憋屈了，它们之所以把别人先禁言了又去麻人，就很好的证明了这一点，它们需要发泄，但是又害怕看到那些回击它们的内容，所以只能如此,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[1, 0, 0, 0, 0]",87,hateful
zhihu,race,后面改成默也算人😅,1,"[0, 1]",2,"[0, 1]",1,"[1, 0, 0]","[0, 0, 0, 1, 0]",12,hateful
tieba,lgbt,看来当通讯录是他唯一的精神支柱了，怪不得如此顽抗。,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[1, 0, 0, 0, 0]",25,hateful
tieba,gender,每个人与每个人都是不同的。你要记得这点。,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",20,non-hateful
zhihu,region,为什么我碰到的河南人都挺好的，就是不怎么会开玩笑，人比较古板，没啥意思😅,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",39,non-hateful
zhihu,race,彩礼？屁礼！大清亡了，还搁这儿彩礼呢，结婚，爱情不是交易，不是买卖，也就明码标价的买卖，还不是真买到手。,1,"[0, 1]",2,"[0, 1]",2,"[0, 1, 0]","[0, 0, 1, 0, 0]",52,hateful
tieba,race,美国的黑人混血？肤色偏黑，多少代了？,0,"[1, 0]",0,"[0, 0]",0,"[0, 0, 0]","[0, 0, 0, 0, 0]",18,non-hateful
