guid,source,date,title,comment,OFF,TGT,GRP,OFF_span,TGT_span,annotator_id,offensiveness,off_start_idx,off_end_idx,target,target_group,tgt_start_idx,tgt_end_idx,label
kold-v1_02196,naver_news,2022-01-01,탈레반 귀환 140일… 20년 만에 돌아온 정권의 모습은? [세계의 분쟁지역],국민 세금을 지 돈같이 맘대로 쓰는 더듬는민주당의 미래,True,group,politics-progressive,지 돈같이 맘대로 쓰는 더듬는,더듬는민주당,170408,True,[7],[29],[['group']],[['집단-정치-진보']],[20],[25],hateful
kold-v1_09845,youtube,2021-07-22,[제보M] 이슬람 신도는 테러리스트? 사원 건축 갈등에 반대 국민청원까지 [MBN 종합뉴스],제발 국민이 주인이다.. 이슬람 더 늘어나면 큰일아닌가,True,group,religion-islam,이슬람 더 늘어나면 큰일아닌가,이슬람,192852,True,[14],[29],[['group']],[['집단-종교-이슬람교']],[14],[16],hateful
kold-v1_34151,naver_news,2022-01-03,"군 철책, 1년여 전 넘어온 ‘점프 귀순자’에 또 뚫렸나",군인들은 막사안에서 따뜻한난로옆에서 스마트폰또는TV보면사 놀고만있으니 아무도없는철책선넘는일은 누워떡먹기다 감시장비에포착돼도 군이출동해도 이미 도망간 사후약방문격이다 나이롱군대있으나마나 군대인데 월급만계속오려주니 한심하다,True,group,others-others,"스마트폰또는TV보면사 놀고만있으니 아무도없는철책선넘는일은 누워떡먹기다, 나이롱군대있으나마나, 한심하다",군인,192391,True,"[92, 118]","[96, 121]","[['other'], ['other']]","[['기타'], ['기타']]","[95, 103]","[96, 104]",hateful
kold-v1_29128,youtube,2021-07-22,흑인이 말하는 흑인들이 한국인을 차별하는 이유,흑인이랑 싸워보고싶다 개팰자신있는데..전쟁국가의 남자가 흑인한테 굴하진 않을거다 조심해라 흑형들..,True,group,race-black,"개팰자신있는데.., 흑형들",,232118,True,[0],[54],[['group']],"[['집단-민족, 인종, 국가-흑인']]",[],[],hateful
kold-v1_08495,youtube,2021-08-19,흰 제복에 방탄조끼 M-16소총 탈레반 대원들 줄맞춰 거리 행진 / 연합뉴스 (Yonhapnews),아직도 오와열은 개판이네,True,group,religion-islam,오와열은 개판이네,,142940,True,[0],[12],[['group']],"[['집단-민족, 인종, 국가-그 외']]",[],[],hateful
kold-v1_12315,naver_news,2021-06-24,“무스펙 페미가 1급?” “페미가 어때서”… 폭주하는 젠더 갈등,표얻으려는 짓 그만 ~~ 여당 이제 정신이 번쩍들지? 오세훈시장되는거보고~ 이준석 당대표되는거 보고나니~ 정신번쩍든거야~ 할당제 그렇게 밀어 부칠 일 아니야~이것이 혐오를 조장하는거고~ 갈라치기하는거야갈수룍 태산,True,group,politics-progressive,"표얻으려는 짓 그만 ~~ , 혐오를 조장하는거고~ 갈라치기하는거야갈수룍 태산",여당,165881,True,[88],[117],[['group']],[['집단-정치-진보']],[14],[15],hateful
kold-v1_07202,youtube,2021-08-17,"박원순 피소, '여성단체 여당 의원 젠더특보' 순 유출 / SBS",더불어N번당.,True,group,politics-progressive,더불어N번당,,166082,True,[0],[5],[['group']],[['집단-정치-진보']],[],[],hateful
kold-v1_20271,naver_news,2020-09-07,"""개신교 혐오 시대... 차별금지법이 교회 지켜줄 것""","돌. 라이. 아이가? 예수님이. 당신땜에 통곡하시겠다.아마 사삼위일체도 부정할듯, 장사고마해라! 벼락맞기전에.",True,group,religion-christian,"돌. 라이. 아이가?, 장사고마해라! 벼락맞기전에.",,116644,True,"[0, 46]","[10, 60]",[['group']],[['집단-종교-기독교']],[],[],hateful
kold-v1_14845,naver_news,2021-08-16,"국민의힘, 安 합당 결렬 선언에 “손바닥 뒤집듯 약속 뒤집은 행동 유감”",높은 지지율 꽁으로 처먹으려고 한거지 무ㅋㅋ마음대로 해석하는게 대깨문이랑 다를게없네,True,group,politics-progressive,높은 지지율 꽁으로 처먹으려고 한거지 무ㅋㅋ마음대로 해석하는게 대깨문이랑 다를게없네,,158705,True,[35],[45],[['group']],[['집단-정치-진보']],[],[],hateful
kold-v1_39113,naver_news,2022-02-08,"탈북민 10명 중 7명 ""남한 생활 만족""... 경제적 처우도 개선",북괴 관심없다. 멸치에 콩들고 이마트 카트타고 압록강에 태극기 꽂을 윤도리도리 쩍벌남 만쉐이~멸공. 사드는 방어미사일이니 공격미사일 니돈주고사서 북진해라.중공.쏘련 박살내라.멸공!,True,group,race-others,"윤도리도리 쩍벌남 만쉐이~멸공, 니돈주고사서 북진해라.중공.쏘련 박살내라.멸공!",,244885,True,[9],[99],[['group']],"[['집단-민족, 인종, 국가-그 외']]",[],[],hateful
kold-v1_25143,naver_news,2021-08-15,“요즘 백래시 뻔뻔해졌다”…여성혐오 대응 네트워크 발족,저도 한녀 쪽팔려요 ㅠ,True,group,gender-female,한녀 쪽팔려요 ㅠ,한녀,223914,True,[6],[11],[['group']],"[['집단-민족, 인종, 국가-그 외', '집단-성 정체성-여성']]",[3],[4],hateful
kold-v1_39066,youtube,2021-08-19,여성 앵커와 마주 앉은 탈레반 '이미지 메이킹' 언제까지 갈까 / 연합뉴스 (Yonhapnews),시대가 어느 시댄데 저런 북괴식 통치를...,True,group,race-others,,,158504,True,[0],[23],[['group']],"[['집단-민족, 인종, 국가-그 외']]",[],[],hateful
kold-v1_37676,naver_news,2021-03-27,[젠더살롱] 흙수저 남성도 불쌍하다고? 여성에겐 흙수저조차 주지 않았다,기레기가 아무나 하는 직업인 반증 개 소리만 왈왈대도 기사랍시고 올림,True,group,others-others,기레기가 아무나 하는 직업인 반증 개 소리만 왈왈대도 기사랍시고 올림,,144991,True,[19],[37],[['group']],[['집단-기타-그 외']],[],[],hateful
kold-v1_38654,naver_news,2020-10-07,"아나운서 성차별 고용 사태, 재발방지책은 있는가?",대부분 여자들은 남직원과 여직원은 동등한 업무를 하는줄 착각하고 있다는게 문제지..,True,group,gender-female,남직원과 여직원은 동등한 업무를 하는줄 착각하고 있다는게 문제지..,여자들,232715,True,[9],[45],[['group']],[['집단-성 정체성-여성']],[4],[6],hateful
kold-v1_32775,youtube,2022-02-16," 끝까지 싸우겠다  법원 판결 이후, 이슬람 갈등 더욱 격화 / KBS 2022.02.16.",니네 나라로 돌아가,True,group,race-others,니네 나라로 돌아가,,157643,True,[0],[9],[['group']],"[['집단-민족, 인종, 국가-그 외']]",[],[],hateful
kold-v1_19567,youtube,2021-08-23,단톡방 넘쳐난 성희롱 여성혐오 미래 '장교'들이 (2019.11.25/뉴스데스크MBC),장교로만 가지말고 일반병으로 징병제 해라 여자들아 그럼 안그런다 남녀 평등 주장 하는겄들이 왜 이렇게 모순적인거냐 페미 짓거리도 작작 해야지 대한민국은 남자들이 더 살기 잣같은 나라다 이미,True,group,gender-female,남녀 평등 주장 하는겄들이 왜 이렇게 모순적인거냐 페미 짓거리도 작작 해야지 대한민국은 남자들이 더 살기 잣같은 나라다 이미,여자들,130633,True,[36],[104],[['group']],[['집단-성 정체성-여성']],[23],[25],hateful
kold-v1_26999,youtube,2021-08-17,"""중국 동포도 한국에 한 달만 살면 선거권 준다?"" / SBS / 사실은",헛소리나 가짜 뉴스나 올리지말고.제발 불체자 추방하고 불체자들이 이나라 불법으로 땅사는것이나 좀 막아줘 쫌!,True,group,race-others,"헛소리나 가짜 뉴스나 올리지말고, 불체자 추방하고 불체자들이 이나라 불법으로 땅사는것이나 좀 막아줘 쫌!",,178521,True,[21],[59],"[['group'], ['group']]","[['집단-민족, 인종, 국가-그 외'], ['집단-민족, 인종, 국가-그 외']]","[30, 21]","[33, 23]",hateful
kold-v1_25019,youtube,2021-07-22,[원페강연] 저는 그냥 나쁜 페미니스트가 되려고요 - 요조,돈필요한가 너도나도 페미네 시밯 믿고거르는 페미~~,True,group,others-feminist,돈필요한가 너도나도 페미네 시밯 믿고거르는 페미~~,"페미, 페미",155476,True,[0],[27],[['group']],[['집단-성 정체성-페미니스트']],[],[],hateful
kold-v1_37730,naver_news,2021-08-23,"이정미 ""대통령제 없애는 대통령이 되겠다""",민주당 발목 잡으려고 나왔니 어쩌다 정의당이국힘 2중대가 됐나,True,group,politics-others,"민주당 발목 잡으려고 나왔니, 2중대가 됐나",정의당,151252,True,[0],[14],[['individual']],[['개인']],[],[],hateful
kold-v1_25725,naver_news,2022-03-07,"""대선 후보들이 혐오할 수 있는 장을 열어준 것 같다""",페미는 시8 좀 나가 죽어라,True,group,others-feminist,시8 좀 나가 죽어라,페미,225814,True,[9],[14],[['group']],[['집단-성 정체성-페미니스트']],[0],[1],hateful
kold-v1_14130,youtube,2021-08-19,탈레반의 무시무시한 손글씨 편지 현지인 통역에 사형 통지 / 연합뉴스 (Yonhapnews),탈레반을죽여야 불쌍한 시민들이 살길이다,True,group,religion-islam,탈레반을죽여야,탈레반,175632,True,[4],[20],[['group']],[['집단-종교-이슬람교']],[0],[2],hateful
kold-v1_22356,naver_news,2021-08-05,"조선일보 기자들, ""나쁜 페미는 급진적 페미로 써라"" 공지 비판",맞아요 여자들은 똑똑해서 자기들 빼액거림에 넘어가지 않는데 그러니까 더 발악하고 도태되고,True,group,gender-female,자기들 빼액거림에 넘어가지 않는데 그러니까 더 발악하고 도태되고,여자들,192902,True,[14],[48],[['group']],[['집단-성 정체성-여성']],[4],[6],hateful
kold-v1_38831,naver_news,2021-08-22,"아프간 대통령 친동생, 탈레반 손 맞잡고 '충성맹세'",하는짓이 국짐당이랑같네,True,group,politics-conservative,하는짓이 국짐당이랑같네,,237328,True,[0],[11],"[['group'], ['individual']]","[['집단-정치-보수'], ['개인']]",[5],[7],hateful
kold-v1_40137,naver_news,2021-03-05,"""그곳에선 불법""... 결국 변희수 하사는 세상을 등졌다",성정체성을 XY가 XX로 느낀다면 뇌 시스템에러.,True,group,gender-LGBTQ+,성정체성을 XY가 XX로 느낀다면 뇌 시스템에러,,227849,True,[0],[25],[['individual']],[['개인']],[],[],hateful
kold-v1_14398,youtube,2021-08-19,[풀영상] 탈레반 대변인 '수하힐 샤힌' 단독 인터뷰 공개합니다 / 비디오머그,근데 존나웃긴건 샘물교회 지들이 가지말라는거 간거 아니냐?,True,group,religion-christian,"존나웃긴건, 지들이 가지말라는거 간거 아니냐",샘물교회,109012,True,[14],[30],[['group']],[['집단-종교-기독교']],[9],[12],hateful
kold-v1_25719,naver_news,2022-03-12,"이스라엘, 팔레스타인 배우자에 시민권 막는 '인종차별'법 연장",한국도 조선족이나한족들 귀화하는 거 차단해야 되는데,True,group,race-chinese,귀화하는 거 차단해야 되는데,조선족이나한족들,8634,True,[13],[27],[['group']],"[['집단-민족, 인종, 국가-조선족', '집단-민족, 인종, 국가-중국인']]",[4],[11],hateful
kold-v1_17493,youtube,2021-05-18,[시청자브리핑 시시콜콜] 과열되고 있는 젠더갈등... 여자들 군대 보내는 게 진정한 평등일까? / YTN,"저출산시대에 여자는 육아한다고 징징거리는것도 웃기다 여자도 징집대상하자 정 머하면 여자들은 의경,행정병가라",True,group,gender-female,"저출산시대에 여자는 육아한다고 징징거리는것도 웃기다 여자도 징집대상하자 정 머하면 여자들은 의경,행정병가라","여자, 여자, 여자들",25111,True,[0],[58],"[['group'], ['group'], ['group']]","[['집단-성 정체성-여성'], ['집단-성 정체성-여성'], ['집단-성 정체성-여성']]","[7, 29, 46]","[8, 30, 48]",hateful
kold-v1_30345,naver_news,2021-07-29,"이낙연 ""동성애 차별 안되지만 동성혼은 시기상조""",어떤 미친 여자님이..행보수지를 찍을까..? 여자들이.. 생전 듣도보도 못한 욕 행보수지라는 욕을 얻어먹으면서..어떤여자들이 찍어줄까..? 그거 찍어주는 여자들은 돌은여자임..아니면...행보수지 욕먹어도 하자없는 여자들이 찍어줄꺼로 보여짐..,True,group,gender-female,어떤 미친 여자님이..행보수지를 찍을까..? 여자들이.. 생전 듣도보도 못한 욕 행보수지라는 욕을 얻어먹으면서..어떤여자들이 찍어줄까..? 그거 찍어주는 여자들은 돌은여자임..아니면...행보수지 욕먹어도 하자없는 여자들이 찍어줄꺼로 보여짐..,,232158,True,[0],[134],[['not specified']],[['알 수 없음']],[],[],hateful
kold-v1_31015,naver_news,2021-07-10,개와 중국인은 출입금지,얘 진짜 조선족 중국인이네 ㅋㅋㅋㅋㅋ,True,group,race-chinese & race-korean_chinese,,"조선족, 중국인",236349,True,[5],[19],[['group']],"[['집단-민족, 인종, 국가-조선족']]",[5],[7],hateful
kold-v1_38127,naver_news,2022-03-16,"정의연·이용수 할머니, 혐오 발언 일삼은 보수단체 명예훼손·모욕 혐의 고소(종합)",보수단체ㅋㅋ저2번 그이상도그이하도아님,True,group,gender-male & politics-conservative,"보수단체ㅋㅋ, 2번 그이상도그이하도아님",,155601,True,[7],[19],"[['group'], ['group']]","[['집단-정치-보수'], ['집단-성 정체성-남성']]",[0],[3],hateful
kold-v1_22609,naver_news,2021-07-24,"[탐사보도 뉴스프리즘] 집값 폭등, 그리고 부동산 난민들",의전대통령이냐? 거기서 내려와라,True,group,politics-others,의전대통령이냐? 거기서 내려와라,,238546,True,[0],[16],[['group']],[['집단-정치-그 외']],[],[],hateful
kold-v1_02119,naver_news,2022-03-16,"정의연·이용수 할머니, 혐오 발언 일삼은 보수단체 명예훼손·모욕 혐의 고소(종합)",사형 시켜라,True,group,politics-conservative,사형 시켜라,,232627,True,[0],[5],[['group']],[['집단-정치-보수']],[],[],hateful
kold-v1_31597,naver_news,2021-08-24,"미, 아프간인 한국 수용요청 질문에 ""다양한 국가와 접촉중""",먼저 남북으료 갈라진 거 해결하라 무슨 난민수용이냐 정신들 차리시오 그 작은 서울력 노숙자도 해결 못하면서,True,group,race-others,"정신들 차리시오, 그 작은 서울력 노숙자도 해결 못하면서",,86287,True,"[29, 38]","[36, 58]",[['group']],[['집단-기타-그 외']],[],[],hateful
kold-v1_29066,youtube,2022-02-16,"윤 공약 자료에 '오또케' ""여성혐오 선동하나"" (2022.02.16/뉴스투데이/MBC)",ㅋㅋㅋ 솔직히 무쓸모인건 맞지 여경,True,group,gender-female,무쓸모인건 맞지,여경,244005,True,[4],[15],[['group']],"[['집단-기타-그 외', '집단-성 정체성-여성']]",[17],[18],hateful
kold-v1_15502,naver_news,2021-07-28,"안산 '숏컷', 여자 체조 레깅스…뜨거운 '젠더이슈 올림픽'",페미-15 바이러스도 사라지지도 않고 코로나-19 바이러스도 사라지지 않네..,True,group,others-feminist,페미-15 바이러스도 사라지지도 않고,페미,106721,True,[0],[42],[['group']],[['집단-성 정체성-페미니스트']],[0],[1],hateful
kold-v1_06609,naver_news,2021-07-07,여가부 폐지 논란…“젠더갈등 조장부 폐지” vs “젠더갈등의 힘”,"남녀차별 하지마라하고 걸스 캔 두 애니띵이라면서 여성 전용 주차장은 좋아하고, 군대는 가기 싫고, 발로 뛰는 현장직은 싫어하는 ㅍㅁ들은 없어질 때 되었음.",True,group,others-feminist,ㅍㅁ들은 없어질 때 되었음.,ㅍㅁ,234136,True,[71],[85],[['group']],[['집단-성 정체성-페미니스트']],[71],[72],hateful
kold-v1_11278,naver_news,2021-05-02,"이준석, GS25 남혐 포스터 논란에 ""젠더 갈등 없다고?""",결혼한 30대 남자입니다 나랑 상관없다고 무관심하면 내 자식 내 손자들도 페미의 패악질에 삶이 힘들겁니다. 10대 20대 양성평등에 무관심 하지않고 지지 하겠습니다,True,group,others-feminist,페미의 패악질에 삶이 힘들겁니다.,페미,173397,True,[41],[58],[['group']],[['집단-성 정체성-페미니스트']],[41],[42],hateful
kold-v1_13003,naver_news,2021-08-12,‘양궁 안산 때문에 헤어진 커플’ 진중권이 공유한 사연,금메달이 신성불가침 영역이냐? 금메달이랑 메갈 용어는 별개임 걍 활잘쏘는 메갈 꼴페미라고,True,group,others-feminist,"메갈 용어는 별개임, 걍 활잘쏘는 메갈 꼴페미라고",,109938,True,"[41, 23]","[48, 32]","[['group'], ['group', 'individual']]","[['집단-성 정체성-페미니스트'], ['개인', '집단-성 정체성-페미니스트']]","[44, 45]","[46, 46]",hateful
kold-v1_08082,naver_news,2021-08-24,"美, ‘카불 탈출’ 가속도…탈레반 “8월 31일이 레드라인”",난민들 멀리 오지말고 같은 무슬림 인접 국가에정착하게해라 똥은 지들이 싸고 수습을 같이하려하노 위상 어쩌고 하는데 개나주세여 한국은 탈북인들이 있으니 제외되야하고난민들 일본으로 보내라!,True,group,race-others,똥은 지들이 싸고 수습을 같이하려하노 위상 어쩌고 하는데 개나주세여 한국은 탈북인들이 있으니 제외되야하고난민들 일본으로 보내라!,,233827,True,[32],[102],[['group']],"[['집단-민족, 인종, 국가-그 외']]",[],[],hateful
kold-v1_26506,naver_news,2021-05-20,"강남역 살인사건 5주기, 여성들에게 물었다 ""혐오는 사라졌는가?""",페미세뇌당해서 권리주장 하지말고 정말 남자들이 인정해줄정도로 의무를 다해봐라 그러고도 차별이 사라지지않는다고 한다면 반성 하고 성찰을 하겠다. 아스팔트에 앉아서 징징대는거 이젠 신물이난다 나라를 위해서 일좀해라.,True,group,others-feminist,"아스팔트에 앉아서 징징대는거 이젠 신물이난다, 나라를 위해서 일좀해라.",페미,181776,True,[90],[103],[['group']],[['집단-성 정체성-페미니스트']],[0],[1],hateful
kold-v1_14634,youtube,2021-08-17,"""미국 땅 두고 왜?"" vs ""우리도 어려웠다"" 난민 두고 '팽팽' / SBS / 뉴스딱",난민 왜 미국이 안받는줄 아나?  과밀로 경제위기까지나온다 이 정부 갈때까지 갔네,True,group,race-others,이 정부 갈때까지 갔네,정부,170609,True,[33],[44],[['group']],[['집단-기타-그 외']],[35],[36],hateful
kold-v1_15854,naver_news,2021-08-10,"""숏컷·집게손가락이 왜?""…BBC가 분석한 한국 '안티 페미니즘'",여기 썩은 보물 냄새,True,group,others-feminist,썩은 보물 냄새,,182950,True,[3],[10],[['group']],"[['집단-기타-그 외', '집단-성 정체성-페미니스트']]",[],[],hateful
kold-v1_30428,naver_news,2021-02-09,트랜스젠더 10명 중 6명 ‘차별’ 경험…일상 용무도 포기,그냥 조용히 세상에 없는듯 살어! 뭐 잘난거라고 평등을 외쳐? 돌연변이들이,True,group,gender-LGBTQ+,"조용히 세상에 없는듯 살어!, 뭐 잘난거라고 평등을 외쳐?, 돌연변이들이",,146895,True,"[3, 35]","[17, 40]",[['group']],[['집단-성적 지향-그 외']],[],[],hateful
kold-v1_31085,naver_news,2021-04-27,"""이거 남혐 아냐?"" 이대남의 반격…폭발하는 젠더갈등",폐미부터 이마에 페미라고 써 붙이고 그런 말 하지 그러냐,True,group,others-feminist,폐미부터 이마에 페미라고 써 붙이고 그런 말 하지 그러냐,"폐미, 페미",142940,True,[0],[30],"[['group'], ['group']]","[['집단-성 정체성-페미니스트'], ['집단-성 정체성-페미니스트']]","[0, 9]","[1, 10]",hateful
kold-v1_15596,naver_news,2020-10-01,“차별금지법 문제 있다”... 법사위원 2명 부정적 의견 피력,차별금지법은 독소조항 많은 악법이다.차별금지법 제정하려는 사람들의 뇌가 궁금하다.비상식적인 법을 가지고와서 국민을 범죄자로 몰아가며 자유를 억압하려는 행위야말로 헌법을 훼손하는 나쁜 사례의 법이다.,True,group,politics-others,뇌가 궁금하다.,,191060,True,"[32, 0]","[44, 18]",[['other']],[['기타']],[],[],hateful
kold-v1_13469,naver_news,2021-09-17,"""페미냄새 찐하네"" 男대학생, 교수와 설전 벌였다",페미교수 부들부들거리면서 등판했네 ㅋㅋㅋ,True,group,others-feminist,부들부들거리면서 등판했네 ㅋㅋㅋ,페미교수,140687,True,[5],[21],[['group']],[['집단-성 정체성-페미니스트']],[0],[3],hateful
kold-v1_33827,naver_news,2021-05-04,"""뭔 말인지 알아야 화나지""···그들만의 '허버허버' 젠더싸움",미친 세상이다...페미니즘이라는 정신병이 사회 곳곳에 흩어져 있네...싹 다 잡아서 정신병원에 수감시켜라,True,group,others-feminist,미친 세상이다...페미니즘이라는 정신병이 사회 곳곳에 흩어져 있네...싹 다 잡아서 정신병원에 수감시켜라,,233093,True,[0],[57],[['not specified']],[['알 수 없음']],[],[],hateful
kold-v1_01184,youtube,2022-01-07,"""사실혼 인정 안 된다""는 법원 동성 부부는 이렇게 답했다 (현장영상) / SBS",멀쩡 하게 생겨서는 춧춧. 부모. 는 얼마나 힘 들고 괴로우실까요?,True,group,gender-LGBTQ+,멀쩡 하게 생겨서는 춧춧. 부모. 는 얼마나 힘 들고 괴로우실까요?,,161655,True,[0],[36],[['group']],[['집단-성적 지향-동성애자']],[],[],hateful
kold-v1_31358,youtube,2021-07-22,총격당한 흑인 아빠 '하반신 마비' 미국 시위 격화 / SBS,말 안듯는놈들은  무조건 쏴라 난 말잘듣는다  그러니  이런말도  하는거지,True,group,race-black,말 안듯는놈들은  무조건 쏴라,,232782,True,[0],[15],[['group']],"[['집단-민족, 인종, 국가-흑인']]",[],[],hateful
kold-v1_07559,youtube,2021-05-26,퀴어축제 VS 그만해...해마다 왜? 톡 까놓고 듣는다 Korea Queer Culture Festival [이민재의 경청동지],출산이 무슨 의무야. 그럼 이성애자도 애엄마 아니면 니들이 그렇게 혐오하던 퀴어랑 똑같은거냐?,True,group,gender-LGBTQ+,출산이 무슨 의무야. 그럼 이성애자도 애엄마 아니면 니들이 그렇게 혐오하던 퀴어랑 똑같은거냐?,,235902,True,[21],[51],[['group']],[['집단-성적 지향-그 외']],[15],[18],hateful
kold-v1_12048,naver_news,2021-01-28,[젠더연구소] 장혜영은 ‘선택’했다,정의당의 실수는 경험도없는 철딱서니를 영입한게 가장큰실수다 결국 문닫게 생겼다,True,group,politics-progressive,철딱서니,정의당,163417,True,[],[],[['group']],[['집단-정치-진보']],[0],[2],hateful
kold-v1_33929,youtube,2021-05-18,"[EBS 위대한 수업, 그레이트 마인즈] 젠더  주디스 버틀러 - Judith Butler",정 신 이 상 자 변 태 성 욕 자들의 페미니즘을 허용한다고? 이런 강아지들은 정신병원에 보내야 하는 거 아닐까?,True,group,others-disease,"정 신 이 상 자 변 태 성 욕 자들, 이런 강아지들은 정신병원에 보내야 하는 거 아닐까?",,197917,True,[0],[62],[['not specified']],[['알 수 없음']],[],[],hateful
kold-v1_09804,naver_news,2021-06-17,"[오태훈의 시사본부] 이상민 “차별금지법 시기상조? 이준석, 생물학적 나이만 젊지 구태 정치와 다를 바 없어”",정신나간놈 국회의원을다봤나. 최근 에이즈걸린 항문성교 동성애자가 난잡 성교해서 수많은 사람들에게 에이즈 전파한것 모르냐?윤리 근간을 흔드는 이런 쓰레기 악법은 국민들이 일어나 반드시 폐기시켜야합니다. 국민 무서운줄을 알려줍시다,True,group,politics-others,"정신나간놈, 난잡 성교해서 수많은 사람들에게 에이즈 전파한것 모르냐",국회의원,181776,True,"[36, 4, 81]","[66, 4, 87]",[['individual']],[['개인']],[6],[9],hateful
kold-v1_18479,naver_news,2021-06-03,"""강간당하는 여자 무시하고 지나갔다"" 젠더싸움으로 번진 글",저사람도 문제 있고 사회도 문제 있는거죠. 본인의 치졸함을 사회 탓으로만 돌리면 안됩니다.,True,group,gender-LGBTQ+,치졸함,,184184,True,[24],[49],[['individual']],[['개인']],[],[],hateful
kold-v1_34018,naver_news,2022-02-25,"페미니즘당 창당모임 ""거대 양당 후보, 성평등 정책 질의에 답 안해""",무섭ㄷㄷ 완장차고 죽창들고 와서 페미니즘 안 따르면 찔러죽인다고 협박하는 꼴 아니냐,True,group,others-feminist,"무섭ㄷㄷ, 찔러죽인다고 협박하는 꼴 아니냐",,232678,True,[29],[41],[['group']],[['집단-성 정체성-페미니스트']],[],[],hateful
